ASSESSID,LME_NAME,NUM_TOTAL,NUM_SSB,SCIENTIFICNAME,LME_NUMBER,LME_COUNT,collapse_admb,TS_LENGTH,YEAR_START,YEAR_COLLAPSE
SEFSC-SBARSHARATL-1975-2004-FAUCONNET,Scotian Shelf,30,0,Carcharhinus plumbeus,8,2,0,30,1950,1979
DFO-SG-HERR4TFA-1974-2007-PREFONTAINE,Scotian Shelf,30,30,Clupea harengus,8,1,1,30,1951,1980
DFO-SG-HERR4TSP-1974-2007-PREFONTAINE,Scotian Shelf,30,30,Clupea harengus,8,1,1,30,1958,1987
DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,Scotian Shelf,0,33,Gadus morhua,8,1,0,33,1977,2009
DFO-SG-COD4TVn-1965-2009-RICARD,Scotian Shelf,39,39,Gadus morhua,8,1,1,39,1967,2005
DFO-HERR4VWX-1964-2006-PREFONTAINE,Scotian Shelf,42,42,Clupea harengus,8,1,0,42,1956,1997
NAFO-SC-AMPL3M-1960-2007-BAUM,Newfoundland-Labrador Shelf,20,20,Hippoglossoides platessoides,9,1,1,20,1955,1974
NAFO-SC-COD3M-1959-2008-BAUM,Newfoundland-Labrador Shelf,21,21,Gadus morhua,9,1,1,21,1964,1984
DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE,Newfoundland-Labrador Shelf,28,28,Gadus morhua,9,1,1,28,1946,1973
DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,Newfoundland-Labrador Shelf,0,31,Clupea harengus,9,1,0,31,1967,1997
NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE,Newfoundland-Labrador Shelf,32,32,Reinhardtius hippoglossoides,9,1,0,32,1962,1993
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,Newfoundland-Labrador Shelf,34,34,Gadus morhua,9,1,1,34,1975,2008
DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,Newfoundland-Labrador Shelf,40,40,Clupea harengus,9,1,0,40,1952,1991
DFO-NFLD-COD2J3KL-1850-2005-RICARD,Newfoundland-Labrador Shelf,0,44,Gadus morhua,9,1,0,44,1950,1993
NAFO-SC-AMPL3LNO-1955-2007-BAUM,Newfoundland-Labrador Shelf,48,48,Hippoglossoides platessoides,9,1,1,48,1947,1994
NAFO-SC-COD3NO-1953-2007-BAUM,Newfoundland-Labrador Shelf,49,49,Gadus morhua,9,1,1,49,1958,2006
NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM,Newfoundland-Labrador Shelf,50,0,Sebastes spp,9,1,0,50,1953,2002
IMARPE-PANCHPERUNC-1963-2004-RICARD,Humboldt Current,0,42,Engraulis ringens,13,1,1,42,1948,1989
SPRFMO-CHTRACCH-1950-2010-RICARD,Humboldt Current,41,53,Trachurus murphyi,13,1,1,53,1955,2007
INIDEP-SBWHITARGS-1985-2007-Parma,Patagonian Shelf,21,21,Micromesistius australis,14,1,1,21,1949,1969
INIDEP-ARGHAKENARG-1985-2007-Parma,Patagonian Shelf,22,22,Merluccius hubbsi,14,1,0,22,1979,2000
INIDEP-PATGRENADIERSARG-1983-2006-Parma,Patagonian Shelf,22,22,Macruronus magellanicus,14,1,0,22,1948,1969
INIDEP-ARGHAKESARG-1985-2008-Parma,Patagonian Shelf,23,23,Merluccius hubbsi,14,1,0,23,1971,1993
AFWG-CAPENOR-1965-2007-MINTO,Barents Sea,35,27,Mallotus villosus,20,1,1,35,1952,1986
AFWG-GHALNEAR-1959-2007-JENNINGS,Barents Sea,43,43,Reinhardtius hippoglossoides,20,2,1,43,1963,2005
AFWG-POLLNEAR-1957-2006-MINTO,Barents Sea,47,47,Pollachius virens,20,2,0,47,1945,1991
AFWG-HADNEAR-1947-2006-MINTO,Barents Sea,57,57,Melanogrammus aeglefinus,20,2,1,57,1950,2006
AFWG-CODNEAR-1943-2006-MINTO,Barents Sea,61,61,Gadus morhua,20,2,0,61,1945,2005
AFWG-CODCOASTNOR-1982-2006-MINTO,Norwegian Sea,23,23,Gadus morhua,21,2,1,23,1956,1978
WGBFAS-SOLEIIIa-1982-2007-JENNINGS,North Sea,23,24,Solea vulgaris,22,1,0,24,1985,2008
WGNSSK-NPOUTNS-1983-2007-MINTO,North Sea,24,25,Trisopterus esmarkii,22,1,0,25,1974,1998
WGNSSK-SEELNS-1983-2007-MINTO,North Sea,25,25,Ammodytes marinus,22,1,0,25,1953,1977
WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,North Sea,27,27,Merlangius merlangus,22,2,0,27,1973,1999
WGBFAS-CODKAT-1970-2006-MINTO,North Sea,36,36,Gadus morhua,22,1,1,36,1967,2002
WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO,North Sea,40,40,Pollachius virens,22,2,0,40,1953,1992
WGNSSK-HADNS-IIIa-1963-2006-MINTO,North Sea,44,44,Melanogrammus aeglefinus,22,1,0,44,1953,1996
WGNSSK-CODNS-1962-2007-MINTO,North Sea,44,45,Gadus morhua,22,1,1,45,1951,1995
HAWG-HERRNS-1960-2007-MINTO,North Sea,47,47,Clupea harengus,22,1,1,47,1960,2006
WGBFAS-HERR31-1979-2006-JENNINGS,Baltic Sea,27,27,Clupea harengus,23,1,0,27,1957,1983
WGBFAS-HERRRIGA-1976-2007-JENNINGS,Baltic Sea,30,31,Clupea harengus,23,1,0,31,1965,1995
WGBFAS-HERR2532-1973-2006-JENNINGS,Baltic Sea,33,33,Clupea harengus,23,1,0,33,1952,1984
WGBFAS-HERR30-1972-2007-JENNINGS,Baltic Sea,34,34,Clupea harengus,23,1,0,34,1969,2002
WGBFAS-SPRAT22-32-1973-2007-JENNINGS,Baltic Sea,33,34,Sprattus sprattus,23,1,0,34,1961,1994
WGBFAS-CODBA2224-1969-2007-JENNINGS,Baltic Sea,37,38,Gadus morhua,23,1,0,38,1965,2002
WGBFAS-CODBA2532-1964-2007-JENNINGS,Baltic Sea,41,41,Gadus morhua,23,1,1,41,1963,2003
WGHMM-SOLEVIII-1982-2006-JENNINGS,Celtic-Biscay Shelf,23,23,Solea vulgaris,24,2,0,23,1963,1985
WGNSSK-SOLEVIId-1981-2006-MINTO,Celtic-Biscay Shelf,25,25,Solea vulgaris,24,1,0,25,1945,1969
WGSSDS-WHITVIIek-1982-2007-JENNINGS,Celtic-Biscay Shelf,25,25,Merlangius merlangus,24,1,0,25,1956,1980
WGNPBW-BWHITNEA-1980-2007-JENNINGS,Celtic-Biscay Shelf,27,27,Micromesistius poutassou,24,5,0,27,1981,2007
WGHMM-HAKENRTN-1977-2007-JENNINGS,Celtic-Biscay Shelf,28,29,Merluccius merluccius,24,2,0,29,1953,1981
WGNSDS-HADVIa-1977-2006-MINTO,Celtic-Biscay Shelf,29,29,Melanogrammus aeglefinus,24,1,0,29,1965,1993
WGNSDS-CODVIa-1977-2006-MINTO,Celtic-Biscay Shelf,29,29,Gadus morhua,24,1,1,29,1976,2004
WGSSDS-PLAICCELT-1976-2006-JENNINGS,Celtic-Biscay Shelf,30,30,Pleuronectes platessa,24,1,0,30,1964,1993
HAWG-HERRVIaVIIbc-1969-2000-MINTO,Celtic-Biscay Shelf,31,31,Clupea harengus,24,1,0,31,1946,1976
WGSSDS-PLAICECHW-1975-2006-JENNINGS,Celtic-Biscay Shelf,31,31,Pleuronectes platessa,24,1,0,31,1971,2001
WGMHSA-MACKNEICES-1972-2007-JENNINGS,Celtic-Biscay Shelf,35,35,Scomber scombrus,24,3,0,35,1952,1986
WGSSDS-SOLECS-1970-2006-JENNINGS,Celtic-Biscay Shelf,36,36,Solea vulgaris,24,1,0,36,1967,2002
WGNSDS-SOLEIS-1968-2006-MINTO,Celtic-Biscay Shelf,37,37,Solea vulgaris,24,1,0,37,1950,1986
WGSSDS-SOLEVIIe-1968-2006-JENNINGS,Celtic-Biscay Shelf,38,38,Solea vulgaris,24,1,0,38,1953,1990
WGNSDS-CODIS-1968-2006-MINTO,Celtic-Biscay Shelf,39,39,Gadus morhua,24,1,1,39,1961,1999
WGNSDS-PLAICIS-1962-2006-MINTO,Celtic-Biscay Shelf,43,43,Pleuronectes platessa,24,1,0,43,1964,2006
HAWG-HERRNIRS-1960-2006-JENNINGS,Celtic-Biscay Shelf,46,46,Clupea harengus,24,1,1,46,1954,1999
HAWG-HERRVIa-1957-2006-MINTO,Celtic-Biscay Shelf,49,49,Clupea harengus,24,1,1,49,1947,1995
WGHMM-FMEG8c9a-1986-2006-JENNINGS,Iberian Coastal,21,21,Lepidorhombus boscii,25,1,0,21,1958,1978
WGHMM-MEG8c9a-1985-2007-JENNINGS,Iberian Coastal,21,21,Lepidorhombus whiffiagonis,25,1,0,21,1975,1995
ICCAT-SWORDMED-1968-2006-JENSEN,Mediterranean Sea,39,0,Xiphias gladius,26,1,0,39,1968,2006
MARAM-ANCHOSA-1984-2006-deMoor,Benguela Current,23,23,Engraulis encrasicolus,29,2,0,23,1985,2007
MARAM-SARDSA-1984-2006-deMoor,Benguela Current,23,23,Sardinops sagax,29,2,1,23,1981,2003
MARAM-SAABALONESA-1951-2008-PLAGANYI,Benguela Current,58,58,Haliotis midae,29,1,0,58,1951,2008
MARAM-SSLOBSTERSASC-1973-2008-Johnston,Agulhas Current,36,36,Palinurus gilchristi,30,1,0,36,1965,2000
MARAM-CTRACSA-1950-2007-Johnston,Agulhas Current,58,58,Trachurus capensis,30,1,0,58,1948,2005
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,North Australian Shelf,0,37,Penaeus esculentus,39,1,0,37,1973,2009
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,North Australian Shelf,0,37,Penaeus esculentus,39,1,0,37,1949,1985
CSIRO-OROUGHYCASCADE-1987-2006-FULTON,Southeast Australian Shelf,20,20,Hoplostethus atlanticus,42,1,0,20,1947,1966
CSIRO-WAREHOUESE-1984-2006-FULTON,Southeast Australian Shelf,23,23,Seriolella brama,42,1,1,23,1983,2005
CSIRO-SILVERFISHSE-1978-2006-FULTON,Southeast Australian Shelf,29,29,Seriolella punctata,42,1,0,29,1964,1992
CSIRO-OROUGHYSE-1978-2007-FULTON,Southeast Australian Shelf,30,30,Hoplostethus atlanticus,42,1,0,30,1947,1976
CSIRO-NZLINGESE-1968-2007-FULTON,Southeast Australian Shelf,40,40,Genypterus blacodes,42,1,0,40,1945,1984
CSIRO-GEMFISHSE-1966-2007-FULTON,Southeast Australian Shelf,42,42,Rexea solandri,42,1,1,42,1945,1986
CSIRO-SWHITSE-1945-2007-FULTON,Southeast Australian Shelf,63,63,Sillago flindersi,42,1,0,63,1945,2007
CSIRO-WAREHOUWSE-1984-2006-FULTON,Southwest Australian Shelf,23,23,Seriolella brama,43,1,0,23,1963,1985
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,Southwest Australian Shelf,30,30,Platycephalus conatus,43,1,0,30,1976,2005
CSIRO-NZLINGWSE-1968-2007-FULTON,Southwest Australian Shelf,40,40,Genypterus blacodes,43,1,0,40,1965,2004
CSIRO-BIGHTREDSE-1958-2007-FULTON,Southwest Australian Shelf,50,50,Centroberyx gerrardi,43,1,0,50,1960,2009
NIWA-OROUGHYNZMEC-1981-2004-JENSEN,New Zealand Shelf,24,24,Hoplostethus atlanticus,46,1,0,24,1974,1997
NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN,New Zealand Shelf,27,27,Genypterus blacodes,46,1,0,27,1955,1981
NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN,New Zealand Shelf,28,28,Pseudocyttus maculatus,46,1,0,28,1980,2007
NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN,New Zealand Shelf,28,28,Micromesistius australis,46,1,0,28,1980,2007
NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN,New Zealand Shelf,30,0,Jasus edwardsii,46,1,0,30,1948,1977
NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN,New Zealand Shelf,30,0,Jasus edwardsii,46,1,1,30,1968,1997
NIWA-AUSSALMONNZ-1975-2006-JENSEN,New Zealand Shelf,32,32,Arripis trutta,46,1,0,32,1966,1997
NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN,New Zealand Shelf,32,32,Pseudocyttus maculatus,46,1,0,32,1961,1992
NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN,New Zealand Shelf,32,32,Merluccius australis,46,1,0,32,1953,1984
NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN,New Zealand Shelf,33,33,Merluccius australis,46,1,0,33,1964,1996
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,New Zealand Shelf,35,35,Allocyttus niger,46,1,0,35,1952,1986
NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS,New Zealand Shelf,36,36,Macruronus novaezelandiae,46,1,0,36,1945,1980
NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS,New Zealand Shelf,36,36,Macruronus novaezelandiae,46,1,0,36,1968,2003
NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN,New Zealand Shelf,36,36,Genypterus blacodes,46,1,0,36,1947,1982
NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN,New Zealand Shelf,36,36,Genypterus blacodes,46,1,0,36,1968,2003
NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN,New Zealand Shelf,36,36,Genypterus blacodes,46,1,0,36,1967,2002
NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN,New Zealand Shelf,37,37,Genypterus blacodes,46,1,0,37,1957,1993
NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN,New Zealand Shelf,43,43,Haliotis iris,46,1,0,43,1951,1993
