"","X.1","X","ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","stocks1$BMSY"
"26",26,26,"AFSC-RKCRABBB-1960-2008-JENSEN","East Bering Sea","Paralithodes camtschaticus","Red king crab","Bristol Bay",1,1,24,48,6.21e+15,6.20751e+15
"27",27,27,"AFSC-RKCRABNS-1976-2008-JENSEN","East Bering Sea","Paralithodes camtschaticus","Red king crab","Norton Sound",1,1,0,0,NA,NA
"28",28,28,"AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK","East Bering Sea","Anoplopoma fimbria","Sablefish","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",1,2,49,53,318547,318547
"29",29,29,"AFSC-SNOWCRABBS-1979-2008-JENSEN","East Bering Sea","Chionoecetes opilio","Snow crab","Bering Sea",1,1,30,30,1222480,1222480
"30",30,30,"AFSC-SRAKEROCKBSAI-1977-2008-STANTON","East Bering Sea","Sebastes borealis","Shortraker rockfish","Bering Sea and Aleutian Islands",1,1,29,32,1.53e-07,1.53098e-07
"31",31,31,"AFSC-WPOLLAI-1976-2008-MELNYCHUK","East Bering Sea","Theragra chalcogramma","Walleye pollock","Aleutian Islands",1,1,31,31,3.58e+16,3.57638e+16
"32",32,32,"AFSC-WPOLLEBS-1963-2008-MELNYCHUK","East Bering Sea","Theragra chalcogramma","Walleye pollock","Eastern Bering Sea",1,1,45,45,6223020,6223020
"33",33,33,"AFSC-WPOLLGA-1964-2008-MELNYCHUK","Gulf of Alaska","Theragra chalcogramma","Walleye pollock","Gulf of Alaska",2,1,32,44,2010230,2010230
"34",34,34,"AFSC-YSOLEBSAI-1959-2008-MELNYCHUK","East Bering Sea","Limanda aspera","Yellowfin sole","Bering Sea and Aleutian Islands",1,1,45,31,6435350,6435350
"35",35,35,"AFWG-CAPENOR-1965-2007-MINTO","Barents Sea","Mallotus villosus","Capelin","Barents Sea",20,1,35,42,5200350,5200350
"36",36,36,"AFWG-CODCOASTNOR-1982-2006-MINTO","Norwegian Sea","Gadus morhua","Atlantic cod","North-East Arctic",21,2,23,23,428945,428945
"37",37,37,"AFWG-CODNEAR-1943-2006-MINTO","Barents Sea","Gadus morhua","Atlantic cod","North-East Arctic",20,2,61,61,2604060,2604060
"38",38,38,"AFWG-GHALNEAR-1959-2007-JENNINGS","Barents Sea","Reinhardtius hippoglossoides","Greenland halibut","North-East Arctic",20,2,43,43,492579,492579
"39",39,39,"AFWG-GOLDREDNEAR-1986-2006-MINTO","Barents Sea","Sebastes norvegicus","Golden Redfish","North-East Arctic",20,2,17,21,NA,NA
"40",40,40,"AFWG-HADNEAR-1947-2006-MINTO","Barents Sea","Melanogrammus aeglefinus","Haddock","North-East Arctic",20,2,57,57,439090,439090
"41",41,41,"AFWG-POLLNEAR-1957-2006-MINTO","Barents Sea","Pollachius virens","Pollock","North-East Arctic",20,2,47,47,772332,772332
"42",42,42,"ASMFC-ATLCROAKMATLC-1973-2002-STANTON","Northeast U.S. Continental Shelf","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast",7,1,0,30,NA,NA
"43",43,43,"ASMFC-LOBSTERGB-1981-2007-STANTON","Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Georges Bank",7,1,0,27,NA,NA
"44",44,44,"ASMFC-LOBSTERGOM-1981-2007-STANTON","Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Gulf of Maine",7,1,0,27,NA,NA
"45",45,45,"ASMFC-LOBSTERSNE-1981-2007-STANTON","Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Southern New England",7,1,0,27,NA,NA
"46",46,46,"ASMFC-PANDALGOM-1960-2009-IDOINE","Northeast U.S. Continental Shelf","Pandalus borealis","Northern shrimp","Gulf of Maine",7,1,25,49,17796.4,17796.4
"47",47,47,"CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN","Subantarctic High Seas","Dissostichus mawsoni","Antarctic toothfish","Ross Sea",-96,1,13,13,NA,NA
"48",48,48,"CCSBT-SC-SBT-1931-2009-Parma","Indian High Seas","Thunnus maccoyii","Southern bluefin tuna","Southern Oceans",-97,3,79,79,589220,589220
"49",49,49,"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","Caspian Sea","Clupeonella engrauliformis","Anchovy kilka","Iranian Caspian Sea",-95,1,10,17,NA,NA
"50",50,50,"CSIRO-BIGHTREDSE-1958-2007-FULTON","Southwest Australian Shelf","Centroberyx gerrardi","Bight redfish","Southeast Australia",43,1,50,49,389763,389763
"51",51,51,"CSIRO-BTSHRIMPNAUST-1970-2006-FULTON","North Australian Shelf","Penaeus esculentus","Brown tiger shrimp","Northern Australia",39,1,0,37,NA,NA
"52",52,52,"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","Southwest Australian Shelf","Platycephalus conatus","Deepwater flathead","Southeast Australia",43,1,30,29,7626.82,7626.82
"53",53,53,"CSIRO-GEMFISHSE-1966-2007-FULTON","Southeast Australian Shelf","Rexea solandri","common gemfish","Southeast Australia",42,1,42,42,376410,376410
"54",54,54,"CSIRO-GTPRAWNNAUST-1970-2006-FULTON","North Australian Shelf","Penaeus esculentus","Grooved Tiger Prawn","Northern Australia",39,1,0,37,NA,NA
"55",55,55,"CSIRO-MORWONGSE-1913-2007-FULTON","Southeast Australian Shelf","Nemadactylus macropterus","Jackass morwong","Southeast Australia",42,1,95,95,26588.8,26588.8
"56",56,56,"CSIRO-NZLINGESE-1968-2007-FULTON","Southeast Australian Shelf","Genypterus blacodes","Ling","Southeast Australia",42,1,40,40,7133.25,7133.25
"57",57,57,"CSIRO-NZLINGWSE-1968-2007-FULTON","Southwest Australian Shelf","Genypterus blacodes","Ling","Western half of Southeast Australia",43,1,40,40,1.5e+15,1.49791e+15
"58",58,58,"CSIRO-OROUGHYCASCADE-1987-2006-FULTON","Southeast Australian Shelf","Hoplostethus atlanticus","Orange roughy","Cascade Plateau",42,1,20,20,42132.8,42132.8
"59",59,59,"CSIRO-OROUGHYSE-1978-2007-FULTON","Southeast Australian Shelf","Hoplostethus atlanticus","Orange roughy","Southeast Australia",42,1,30,29,85184.3,85184.3
"60",60,60,"CSIRO-PTOOTHFISHMI-1975-2010-FAY","Subantarctic High Seas","Dissostichus eleginoides","Patagonian toothfish","Macquarie Island",-96,1,36,35,4199.27,4199.27
"61",61,61,"CSIRO-SILVERFISHSE-1978-2006-FULTON","Southeast Australian Shelf","Seriolella punctata","Silverfish","Southeast Australia",42,1,29,29,12232,12232
"62",62,62,"CSIRO-SWHITSE-1945-2007-FULTON","Southeast Australian Shelf","Sillago flindersi","School whiting","Southeast Australia",42,1,63,63,7078.35,7078.35
"63",63,63,"CSIRO-TIGERFLATSE-1913-2006-FULTON","Southeast Australian Shelf","Neoplatycephalus richardsoni","Tiger flathead","Southeast Australia",42,1,94,93,24226.6,24226.6
"64",64,64,"CSIRO-WAREHOUESE-1984-2006-FULTON","Southeast Australian Shelf","Seriolella brama","Blue Warehou","Eastern half of Southeast Australia",42,1,23,23,9010.24,9010.24
"65",65,65,"CSIRO-WAREHOUWSE-1984-2006-FULTON","Southwest Australian Shelf","Seriolella brama","Blue Warehou","Western half of Southeast Australia",43,1,23,23,2103.89,2103.89
"66",66,66,"DFO-COD5Zjm-1978-2003-PREFONTAINE","Northeast U.S. Continental Shelf","Gadus morhua","Atlantic cod","Georges Bank",7,1,26,25,3.19e+15,3.19294e+15
"67",67,67,"DFO-HAD5Zejm-1968-2003-PREFONTAINE","Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Georges Bank",7,1,35,34,403759,403759
"68",68,68,"DFO-HERR4VWX-1964-2006-PREFONTAINE","Scotian Shelf","Clupea harengus","Herring","Scotian Shelf and Bay of Fundy",8,1,42,0,NA,NA
"69",69,69,"DFO-MAR-COD4VsW-1958-2002-PREFONTAINE","Scotian Shelf","Gadus morhua","Atlantic cod","Eastern Scotian Shelf",8,1,0,45,NA,NA
"70",70,70,"DFO-MAR-CUSK4X-1970-2007-RICARD","Northeast U.S. Continental Shelf","Brosme brosme","Cusk","Western Scotian Shelf",7,1,38,0,NA,NA
"71",71,71,"DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE","Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Western Scotian Shelf, Bay of Fundy and Gulf of Maine",7,2,34,44,277564,277564
"72",72,72,"DFO-NFLD-COD2J3KL-1850-2005-RICARD","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Labrador-Eastern Newfoundland",9,1,0,156,NA,NA
"73",73,73,"DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Labrador-Eastern Newfoundland",9,1,12,44,NA,NA
"74",74,74,"DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","St. Pierre Bank",9,1,28,46,230674,230674
"75",75,75,"DFO-PAC-ESOLEHS-1944-2001-COLLIE","Gulf of Alaska","Parophrys vetulus","English sole","Hecate Strait",2,1,58,58,2757.69,2757.69
"76",76,76,"DFO-PAC-HERRCC-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Central Coast",2,1,57,57,37276,37276
"77",77,77,"DFO-PAC-HERRPRD-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Prince Rupert District",2,1,57,57,5.89e+15,5.89247e+15
"78",78,78,"DFO-PAC-HERRQCI-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Queen Charlotte Islands",2,1,57,57,44812.6,44812.6
"79",79,79,"DFO-PAC-HERRSOG-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Straight of Georgia",2,1,57,57,82875.5,82875.5
"80",80,80,"DFO-PAC-HERRWCVANI-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","West Coast of Vancouver Island",2,1,57,57,63187.1,63187.1
"81",81,81,"DFO-PAC-PCODHS-1956-2005-COLLIE","Gulf of Alaska","Gadus macrocephalus","Pacific cod","Hecate Strait",2,1,50,49,26222.6,26222.6
"82",82,82,"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Gulf of Alaska","Gadus macrocephalus","Pacific cod","West Coast of Vancouver Island",2,1,47,46,15979.4,15979.4
"83",83,83,"DFO-PAC-RSOLEHSTR-1945-2001-COLLIE","Gulf of Alaska","Lepidopsetta bilineata","Rock sole","Hecate Strait",2,1,57,57,4726.97,4726.97
"84",84,84,"DFO-PAC-SABLEFPCAN-1913-2004-STANTON","Gulf of Alaska","Anoplopoma fimbria","Sablefish","Pacific Coast of Canada",2,1,0,92,NA,NA
"85",85,85,"DFO-POLL4X5YZ-1980-2006-PREFONTAINE","Northeast U.S. Continental Shelf","Pollachius virens","Pollock","Western Scotian Shelf, Bay of Fundy, Gulf of Maine and Georges Bank",7,2,25,25,61342.3,61342.3
"86",86,86,"DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Northern Gulf of St. Lawrence",9,1,34,43,1572080,1572080
"87",87,87,"DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE","Newfoundland-Labrador Shelf","Clupea harengus","Herring","NAFO division 4R",9,1,0,30,NA,NA
"88",88,88,"DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE","Newfoundland-Labrador Shelf","Clupea harengus","Herring","NAFO division 4R",9,1,40,39,122669,122669
"89",89,89,"DFO-SG-COD4TVn-1965-2009-RICARD","Scotian Shelf","Gadus morhua","Atlantic cod","Southern Gulf of St. Lawrence",8,1,39,44,531036,531036
"90",90,90,"DFO-SG-HERR4TFA-1974-2007-PREFONTAINE","Scotian Shelf","Clupea harengus","Herring","Southern Gulf of St. Lawrence",8,1,30,29,306273,306273
"91",91,91,"DFO-SG-HERR4TSP-1974-2007-PREFONTAINE","Scotian Shelf","Clupea harengus","Herring","Southern Gulf of St. Lawrence",8,1,30,29,155000,155000
"92",92,92,"HAWG-HERR2224IIIa-1991-2006-MINTO","North Sea","Clupea harengus","Herring","22-24-IIIa",22,2,16,16,NA,NA
"93",93,93,"HAWG-HERRNIRS-1960-2006-JENNINGS","Celtic-Biscay Shelf","Clupea harengus","Herring","Irish Sea",24,1,46,46,96896.8,96896.8
"94",94,94,"HAWG-HERRNS-1960-2007-MINTO","North Sea","Clupea harengus","Herring","North Sea",22,1,47,47,3514600,3514600
"95",95,95,"HAWG-HERRVIa-1957-2006-MINTO","Celtic-Biscay Shelf","Clupea harengus","Herring","West of Scotland",24,1,49,49,618720,618720
"96",96,96,"HAWG-HERRVIaVIIbc-1969-2000-MINTO","Celtic-Biscay Shelf","Clupea harengus","Herring","VIa, VIIb and VIIc",24,1,31,31,212720,212720
"97",97,97,"HAWG-SPRATNS-1995-2007-MINTO","North Sea","Sprattus sprattus","Sprat","North Sea",22,1,12,0,NA,NA
"98",98,98,"IATTC-BIGEYEEPAC-1975-2007-JENSEN","Pacific High Seas","Thunnus obesus","Bigeye tuna","Eastern Pacific",-99,1,33,0,NA,NA
"99",99,99,"IATTC-YFINEPAC-1975-2007-JENSEN","Pacific High Seas","Thunnus albacares","Yellowfin tuna","Northeast Pacific",-99,1,33,0,NA,NA
"100",100,100,"ICCAT-ALBANATL-1929-2005-WORM","Atlantic High Seas","Thunnus alalunga","Albacore tuna","Northern Atlantic",-98,1,76,76,156416,156416
"101",101,101,"ICCAT-ATBTUNAEATL-1969-2007-WORM","Atlantic High Seas","Thunnus thynnus","Atlantic bluefin tuna","Eastern Atlantic",-98,2,38,38,217916,217916
"102",102,102,"ICCAT-ATBTUNAWATL-1969-2007-WORM","Atlantic High Seas","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic",-98,1,0,38,NA,NA
"103",103,103,"ICCAT-BIGEYEATL-1950-2005-JENSEN","Atlantic High Seas","Thunnus obesus","Bigeye tuna","Atlantic",-98,1,56,56,450663,450663
"104",104,104,"ICCAT-SKJEATL-1950-2006-JENSEN","Atlantic High Seas","Katsuwonus pelamis","Skipjack tuna","Eastern Atlantic",-98,1,57,57,383658,383658
"105",105,105,"ICCAT-SKJWATL-1952-2006-JENSEN","Atlantic High Seas","Katsuwonus pelamis","Skipjack tuna","Western Atlantic",-98,1,55,55,97261.2,97261.2
"106",106,106,"ICCAT-SWORDMED-1968-2006-JENSEN","Mediterranean Sea","Xiphias gladius","Swordfish","Mediterranean Sea",26,1,39,38,117281,117281
"107",107,107,"ICCAT-SWORDNATL-1978-2007-JENSEN","Atlantic High Seas","Xiphias gladius","Swordfish","Northern Atlantic",-98,1,28,25,45692.1,45692.1
"108",108,108,"ICCAT-SWORDSATL-1970-2005-JENSEN","Atlantic High Seas","Xiphias gladius","Swordfish","South Atlantic",-98,1,36,36,61520.2,61520.2
"109",109,109,"ICCAT-YFINATL-1970-2006-JENSEN","Atlantic High Seas","Thunnus albacares","Yellowfin tuna","Atlantic",-98,1,37,37,448174,448174
"110",110,110,"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","Pacific High Seas","Isurus oxyrinchus","Shortfin mako","Nothwest Pacific Ocean",-99,3,0,14,NA,NA
"111",111,111,"IMARPE-PANCHPERUNC-1963-2004-RICARD","Humboldt Current","Engraulis ringens","Peruvian anchoveta","North-Central Peruvian coast",13,1,0,0,NA,NA
"112",112,112,"INIDEP-ARGANCHONARG-1989-2007-Parma","Patagonian Shelf","Engraulis anchoita","Argentine anchoita","Northern Argentina",14,1,18,18,NA,NA
"113",113,113,"INIDEP-ARGANCHOSARG-1992-2007-Parma","Patagonian Shelf","Engraulis anchoita","Argentine anchoita","Southern Argentina",14,1,15,15,NA,NA
"114",114,114,"INIDEP-ARGHAKENARG-1985-2007-Parma","Patagonian Shelf","Merluccius hubbsi","Argentine hake","Northern Argentina",14,1,22,22,332235,332235
"115",115,115,"INIDEP-ARGHAKESARG-1985-2008-Parma","Patagonian Shelf","Merluccius hubbsi","Argentine hake","Southern Argentina",14,1,23,23,724287,724287
"116",116,116,"INIDEP-PATGRENADIERSARG-1983-2006-Parma","Patagonian Shelf","Macruronus magellanicus","Patagonian grenadier","Southern Argentina",14,1,22,22,2201140,2201140
"117",117,117,"INIDEP-SBWHITARGS-1985-2007-Parma","Patagonian Shelf","Micromesistius australis","Southern blue whiting","Southern Argentina",14,1,21,21,7.93e+17,7.92964e+17
"118",118,118,"IOTC-BIGEYEIO-1957-2006-JENSEN","Indian High Seas","Thunnus obesus","Bigeye tuna","Indian Ocean",-97,1,0,50,NA,NA
"119",119,119,"IPHC-PHALNPAC-1988-2009-Parma","Gulf of Alaska","Hippoglossus stenolepis","Pacific halibut","North Pacific",2,2,14,13,NA,NA
"120",120,120,"MARAM-ANCHOSA-1984-2006-deMoor","Benguela Current","Engraulis encrasicolus","Anchovy","South Africa",29,2,23,23,1831850,1831850
"121",121,121,"MARAM-CHAKESA-1917-2008-DEDECKER","Benguela Current","Merluccius capensis","Shallow-water cape hake","South Africa",29,2,92,92,432732,432732
"122",122,122,"MARAM-CRLOBSTERSA12-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 1-2",29,1,99,98,77275.2,77275.2
"123",123,123,"MARAM-CRLOBSTERSA34-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 3-4",29,1,99,98,12271000,12271000
"124",124,124,"MARAM-CRLOBSTERSA56-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 5-6",29,1,99,98,3.54e+16,3.53971e+16
"125",125,125,"MARAM-CRLOBSTERSA7-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Area 7",29,1,99,98,1.32e-07,1.31723e-07
"126",126,126,"MARAM-CRLOBSTERSA8-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Area 8",29,1,99,98,1.43e-07,1.43432e-07
"127",127,127,"MARAM-CTRACSA-1950-2007-Johnston","Agulhas Current","Trachurus capensis","Cape horse mackerel","South Africa South coast",30,1,58,58,472492,472492
"128",128,128,"MARAM-DEEPCHAKESA-1917-2008-DEDECKER","Benguela Current","Merluccius paradoxus","Deep-water cape hake","South Africa",29,2,92,92,890680,890680
"129",129,129,"MARAM-KINGKLIPSA-1932-2008-DEDECKER","Benguela Current","Genypterus capensis","Kingklip","South Africa",29,2,77,77,79489.4,79489.4
"130",130,130,"MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER","Subantarctic High Seas","Dissostichus eleginoides","Patagonian toothfish","South Africa Subantarctic Prince Edward Islands",-96,1,49,48,6.08e+15,6.08098e+15
"131",131,131,"MARAM-SAABALONESA-1951-2008-PLAGANYI","Benguela Current","Haliotis midae","South African abalone","South Africa",29,1,58,58,25133.4,25133.4
"132",132,132,"MARAM-SARDSA-1984-2006-deMoor","Benguela Current","Sardinops sagax","Sardine","South Africa",29,2,23,23,1860220,1860220
"133",133,133,"MARAM-SSLOBSTERSASC-1973-2008-Johnston","Agulhas Current","Palinurus gilchristi","Southern spiny lobster","South Africa South coast",30,1,36,36,904.625,904.625
"134",134,134,"NAFO-SC-AMPL3LNO-1955-2007-BAUM","Newfoundland-Labrador Shelf","Hippoglossoides platessoides","American Plaice","Grand Banks",9,1,48,47,1807630,1807630
"135",135,135,"NAFO-SC-AMPL3M-1960-2007-BAUM","Newfoundland-Labrador Shelf","Hippoglossoides platessoides","American Plaice","Flemish Cap",9,1,20,48,1.03e+15,1.02825e+15
"136",136,136,"NAFO-SC-COD3M-1959-2008-BAUM","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Flemish Cap",9,1,21,49,31909.7,31909.7
"137",137,137,"NAFO-SC-COD3NO-1953-2007-BAUM","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Grand Banks",9,1,49,54,2.05e+17,2.04672e+17
"138",138,138,"NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE","Newfoundland-Labrador Shelf","Reinhardtius hippoglossoides","Greenland halibut","Labrador Shelf - Grand Banks",9,1,32,47,194547,194547
"139",139,139,"NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM","Newfoundland-Labrador Shelf","Sebastes spp","Redfish species","N and SW Grand Banks",9,1,50,49,140267,140267
"140",140,140,"NAFO-SC-REDFISHSPP3M-1985-2006-PREFONTAINE","Newfoundland-Labrador Shelf","Sebastes spp","Redfish species","Flemish Cap",9,1,18,18,NA,NA
"141",141,141,"NAFO-SC-YELL3LNO-1960-2009-BAUM","Northeast U.S. Continental Shelf","Limanda ferruginea","Yellowtail Flounder","Grand Banks",7,2,45,48,74120.8,74120.8
"142",142,142,"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Northeast U.S. Continental Shelf","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank",7,1,0,95,NA,NA
"143",143,143,"NEFSC-AMPL5YZ-1960-2008-OBRIEN","Northeast U.S. Continental Shelf","Hippoglossoides platessoides","American Plaice","Gulf of Maine / Georges Bank",7,1,29,28,38834.6,38834.6
"144",144,144,"NEFSC-ATHAL5YZ-1800-2007-COL","Northeast U.S. Continental Shelf","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank",7,1,208,115,48737.2,48737.2
"145",145,145,"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","Northeast U.S. Continental Shelf","Pomatomus saltatrix","Bluefish","Atlantic Coast",7,1,26,27,189909,189909
"146",146,146,"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","Northeast U.S. Continental Shelf","Centropristis striata","Black sea bass","Mid-Atlantic Coast",7,1,40,40,10649.2,10649.2
"147",147,147,"NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ","Northeast U.S. Continental Shelf","Peprilus triacanthus","Atlantic butterfish","Gulf of Maine / Cape Hatteras",7,1,0,41,NA,NA
"148",148,148,"NEFSC-CODGB-1960-2008-BAUM","Northeast U.S. Continental Shelf","Gadus morhua","Atlantic cod","Georges Bank",7,1,31,48,5301680,5301680
"149",149,149,"NEFSC-CODGOM-1893-2008-BAUM","Northeast U.S. Continental Shelf","Gadus morhua","Atlantic cod","Gulf of Maine",7,1,26,115,35817.9,35817.9
"150",150,150,"NEFSC-HAD5Y-1956-2008-BAUM","Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Gulf of Maine",7,1,32,52,7.27e+15,7.27287e+15
"151",151,151,"NEFSC-HADGB-1930-2008-BAUM","Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Georges Bank",7,1,78,77,394217,394217
"152",152,152,"NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","Northeast U.S. Continental Shelf","Clupea harengus","Herring","Northwestern Atlantic Coast",7,1,0,46,NA,NA
