COUNTRY,AREATYPE,AREACODE,AREANAME,ALTERNATEAREANAME,AREAID
Canada,DFO,5Zjm,Georges Bank,NA,Canada-DFO-5Zjm
Canada,DFO,ATL,Canadian Atlantic Ocean,NA,Canada-DFO-ATL
Canada,DFO,CC,Central Coast,NA,Canada-DFO-CC
Canada,DFO,HS,Hecate Strait,NA,Canada-DFO-HS
Canada,DFO,PCOAST,Pacific Coast of Canada,,Canada-DFO-PCOAST
Canada,DFO,PRD,Prince Rupert District,NA,Canada-DFO-PRD
Canada,DFO,QCI,Queen Charlotte Islands,NA,Canada-DFO-QCI
Canada,DFO,SOG,Straight of Georgia,NA,Canada-DFO-SOG
Canada,DFO,WCVANI,West Coast of Vancouver Island,NA,Canada-DFO-WCVANI
Iran,Iran,CS,Iranian Caspian Sea,,Iran-Iran-CS
multinational,CCAMLR,RS,Ross Sea,NA,multinational-CCAMLR-RS
multinational,CCSBT,SO,Southern Oceans,,multinational-CCSBT-SO
multinational,GFCMED,BLACKW,Western Black Sea,NA,multinational-GFCMED-BLACKW
multinational,IATTC,EPAC,Eastern Pacific,NA,multinational-IATTC-EPAC
multinational,IATTC,NEPAC,Northeast Pacific,NA,multinational-IATTC-NEPAC
multinational,ICCAT,EATL,Eastern Atlantic,NA,multinational-ICCAT-EATL
multinational,ICCAT,MED,Mediterranean Sea,NA,multinational-ICCAT-MED
multinational,ICCAT,NATL,Northern Atlantic,NA,multinational-ICCAT-NATL
multinational,ICCAT,SATL,South Atlantic,NA,multinational-ICCAT-SATL
multinational,ICCAT,WATL,Western Atlantic,NA,multinational-ICCAT-WATL
multinational,ICES,22-24,Western Baltic,NA,multinational-ICES-22-24
multinational,ICES,22-24-IIIa,22-24-IIIa,NA,multinational-ICES-22-24-IIIa
multinational,ICES,22-32,Baltic Areas 22-32,NA,multinational-ICES-22-32
multinational,ICES,25-32,Eastern Baltic,NA,multinational-ICES-25-32
multinational,ICES,28,Gulf of Riga East of Gotland,NA,multinational-ICES-28
multinational,ICES,29,Archipelago Sea,NA,multinational-ICES-29
multinational,ICES,30,Bothnian Sea,NA,multinational-ICES-30
multinational,ICES,31,Bothnian Bay,NA,multinational-ICES-31
multinational,ICES,32,Gulf of Finland,NA,multinational-ICES-32
multinational,ICES,I,Barents Sea,NA,multinational-ICES-I
multinational,ICES,IIa,Norwegian Sea,NA,multinational-ICES-IIa
multinational,ICES,IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,NA,multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa
multinational,ICES,IIb,Spitzbergen and Bear Island,NA,multinational-ICES-IIb
multinational,ICES,I-II,North-East Arctic,NA,multinational-ICES-I-II
multinational,ICES,IIIa,Kattegat and Skagerrak,Skagerrak,multinational-ICES-IIIa
multinational,ICES,IIIa-IV,IIIa and North Sea,NA,multinational-ICES-IIIa-IV
multinational,ICES,IIIa-IV-VI,"IIIa, VI and North Sea",NA,multinational-ICES-IIIa-IV-VI
multinational,ICES,IIIa-IV-VIId,"IIIa, VIId and North Sea",NA,multinational-ICES-IIIa-IV-VIId
multinational,ICES,IIIa-IV-VI-VII-VIIIabd,IIIa-IV-VI-VII-VIIIabd,NA,multinational-ICES-IIIa-IV-VI-VII-VIIIabd
multinational,ICES,IIIb(23),Sound Sea,NA,multinational-ICES-IIIb(23)
multinational,ICES,IIIc(22),Belt Sea,NA,multinational-ICES-IIIc(22)
multinational,ICES,IIId,Baltic Sea,NA,multinational-ICES-IIId
multinational,ICES,II-IIIa-IV-VI-VII-VIIIabc,II-IIIa-IV-VI-VII-VIIIabc,NA,multinational-ICES-II-IIIa-IV-VI-VII-VIIIabc
multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Northeast Atlantic,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
multinational,ICES,IV,North Sea,NA,multinational-ICES-IV
multinational,ICES,IVa,Northern North Sea,NA,multinational-ICES-IVa
multinational,ICES,IVb,Central North Sea,NA,multinational-ICES-IVb
multinational,ICES,IVc,Southern North Sea,NA,multinational-ICES-IVc
multinational,ICES,IXa,Portugese Waters -East,NA,multinational-ICES-IXa
multinational,ICES,IXb,Portugese Waters -West,NA,multinational-ICES-IXb
multinational,ICES,Va,Iceland Grounds,NA,multinational-ICES-Va
multinational,ICES,Vb,Faroe Grounds,NA,multinational-ICES-Vb
multinational,ICES,Vb1,Faroe Plateau,NA,multinational-ICES-Vb1
multinational,ICES,Vb2,Faroe Bank,NA,multinational-ICES-Vb2
multinational,ICES,VIa,West of Scotland,Clyde herring,multinational-ICES-VIa
multinational,ICES,VIa-VIIb-VIIc,"VIa, VIIb and VIIc",NA,multinational-ICES-VIa-VIIb-VIIc
multinational,ICES,VIb,Rockall Bank,NA,multinational-ICES-VIb
multinational,ICES,VIIa,Irish Sea,NA,multinational-ICES-VIIa
multinational,ICES,VIIb,West of Ireland,NA,multinational-ICES-VIIb
multinational,ICES,VIIb-k,ICES VIIb-k,NA,multinational-ICES-VIIb-k
multinational,ICES,VIIc,Porcupine Bank,NA,multinational-ICES-VIIc
multinational,ICES,VIId,Eastern English Channel,NA,multinational-ICES-VIId
multinational,ICES,VIIe,Western English Channel,NA,multinational-ICES-VIIe
multinational,ICES,VIIe-k,Celtic Sea,NA,multinational-ICES-VIIe-k
multinational,ICES,VIIf,Bristol Channel,NA,multinational-ICES-VIIf
multinational,ICES,VIIf-g,Celtic Sea,NA,multinational-ICES-VIIf-g
multinational,ICES,VIIg,Celtic Sea North,NA,multinational-ICES-VIIg
multinational,ICES,VIIh,Celtic Sea South,NA,multinational-ICES-VIIh
multinational,ICES,VIII,Bay of Biscay,NA,multinational-ICES-VIII
multinational,ICES,VIIIa,Bay of Biscay -North,NA,multinational-ICES-VIIIa
multinational,ICES,VIIIb,Bay of Biscay -Central,NA,multinational-ICES-VIIIb
multinational,ICES,VIIIc,Bay of Biscay -South,NA,multinational-ICES-VIIIc
multinational,ICES,VIIIc-IXa,VIIIc-IXa,NA,multinational-ICES-VIIIc-IXa
multinational,ICES,VIIId,Bay of Biscay -Offshore,NA,multinational-ICES-VIIId
multinational,ICES,VIIIe,West of Bay of Biscay,NA,multinational-ICES-VIIIe
multinational,ICES,VIIj,Southwest of Ireland -East,NA,multinational-ICES-VIIj
multinational,ICES,VIIk,Southwest of Ireland -West,NA,multinational-ICES-VIIk
multinational,ICES,X,Azores Grounds,NA,multinational-ICES-X
multinational,ICES,XII,North of Azores,NA,multinational-ICES-XII
multinational,ICES,XIVa,Northeast Greenland,NA,multinational-ICES-XIVa
multinational,ICES,XIVb,Southeast Greenland,NA,multinational-ICES-XIVb
multinational,IOTC,IO,Indian Ocean,NA,multinational-IOTC-IO
multinational,IPHC,NPAC,North Pacific,NA,multinational-IPHC-NPAC
multinational,NAFO,01ABCDEF,NAFO divisions 01ABCDEF,NA,multinational-NAFO-01ABCDEF
multinational,NAFO,1,West Greenland,NA,multinational-NAFO-1
multinational,NAFO,23K,Labrador - NE Newfoundland,NA,multinational-NAFO-23K
multinational,NAFO,23KLMNO,Labrador Shelf - Grand Banks,NA,multinational-NAFO-23KLMNO
multinational,NAFO,3L,N Grand Banks,NA,multinational-NAFO-3L
multinational,NAFO,3LN,N and SW Grand Banks,NA,multinational-NAFO-3LN
multinational,NAFO,3LNO,Grand Banks,NA,multinational-NAFO-3LNO
multinational,NAFO,3M,Flemish Cap,NA,multinational-NAFO-3M
multinational,NAFO,3NO,Southern Grand Banks,NA,multinational-NAFO-3NO
multinational,NAFO,3O,SW Grand Banks,NA,multinational-NAFO-3O
multinational,SPC,WPO,Western Pacific Ocean,NA,multinational-SPC-WPO
multinational,SPRFMO,CH,Chilean EEZ and offshore,NA,multinational-SPRFMO-CH
multinational,TRAC,5Z,Georges Bank,NA,multinational-TRAC-5Z
multinational,UNKNOWN,NWPAC,Nothwest Pacific Ocean,NA,multinational-UNKNOWN-NWPAC
multinational,WCPFC,SPAC,South Pacific Ocean,NA,multinational-WCPFC-SPAC
New Zealand,MFish,8,New Zealand Area 8 (Auckland and Central West),NA,New Zealand-MFish-8
New Zealand,MFish,CIR,New Zealand - Campbell Island Rise,NA,New Zealand-MFish-CIR
New Zealand,MFish,CR,Chatham Rise,NA,New Zealand-MFish-CR
New Zealand,MFish,CRA1,New Zealand Area CRA1,NA,New Zealand-MFish-CRA1
New Zealand,MFish,CRA2,New Zealand Area CRA2,NA,New Zealand-MFish-CRA2
New Zealand,MFish,CRA3,New Zealand Area CRA3,NA,New Zealand-MFish-CRA3
New Zealand,MFish,CRA4,New Zealand Area CRA4,NA,New Zealand-MFish-CRA4
New Zealand,MFish,CRA5,New Zealand Area CRA5,NA,New Zealand-MFish-CRA5
New Zealand,MFish,CRA7,New Zealand Area CRA7,NA,New Zealand-MFish-CRA7
New Zealand,MFish,CRA8,New Zealand Area CRA8,NA,New Zealand-MFish-CRA8
New Zealand,MFish,ENZ,Eastern New Zealand,NA,New Zealand-MFish-ENZ
New Zealand,MFish,LIN3-4,New Zealand Areas LIN 3 and 4,NA,New Zealand-MFish-LIN3-4
New Zealand,MFish,LIN5-6,New Zealand Areas LIN 5 and 6,NA,New Zealand-MFish-LIN5-6
New Zealand,MFish,LIN6b,New Zealand Areas LIN 6b,NA,New Zealand-MFish-LIN6b
New Zealand,MFish,LIN72,New Zealand Areas LIN 72,NA,New Zealand-MFish-LIN72
New Zealand,MFish,LIN7WC-WCSI,New Zealand Areas LIN 7WC-WCSI,NA,New Zealand-MFish-LIN7WC-WCSI
New Zealand,MFish,NZ,New Zealand,NA,New Zealand-MFish-NZ
New Zealand,MFish,NZMEC,New Zealand Mid East Coast,NA,New Zealand-MFish-NZMEC
New Zealand,MFish,PAU5A,New Zealand Area PAU 5A,NA,New Zealand-MFish-PAU5A
New Zealand,MFish,PAU5B,New Zealand Area PAU 5B (Stewart Island),NA,New Zealand-MFish-PAU5B
New Zealand,MFish,PAU5D,New Zealand Area PAU 5D (Otago),NA,New Zealand-MFish-PAU5D
New Zealand,MFish,PAU7,New Zealand Area PAU 7 (Marlborough),NA,New Zealand-MFish-PAU7
New Zealand,MFish,SA,Sub-Antarctic,NA,New Zealand-MFish-SA
New Zealand,MFish,TRE7,New Zealand Areas TRE 7,NA,New Zealand-MFish-TRE7
New Zealand,MFish,WECR,West end of Chatham Rise,NA,New Zealand-MFish-WECR
New Zealand,MFish,WNZ,Western New Zealand,NA,New Zealand-MFish-WNZ
Peru,IMARPE,NC,North-Central Peruvian coast,NA,Peru-IMARPE-NC
Russia,RFFA,NSO,Northern Sea of Okhotsk,NA,Russia-RFFA-NSO
Russia,RFFA,WBS,Western Bering Sea,NA,Russia-RFFA-WBS
South Africa,DETMCM,1-2,South Africa Areas 1-2,NA,South Africa-DETMCM-1-2
South Africa,DETMCM,3-4,South Africa Areas 3-4,NA,South Africa-DETMCM-3-4
South Africa,DETMCM,5-6,South Africa Areas 5-6,NA,South Africa-DETMCM-5-6
South Africa,DETMCM,7,South Africa Area 7,NA,South Africa-DETMCM-7
South Africa,DETMCM,8,South Africa Area 8,NA,South Africa-DETMCM-8
South Africa,DETMCM,PEI,South Africa Subantarctic Prince Edward Islands,NA,South Africa-DETMCM-PEI
South Africa,DETMCM,SA,South Africa,NA,South Africa-DETMCM-SA
South Africa,DETMCM,SASC,South Africa South coast,NA,South Africa-DETMCM-SASC
USA,NMFS,5Y,Gulf of Maine,NA,USA-NMFS-5Y
USA,NMFS,5YCHATT,Gulf of Maine / Cape Hatteras,NA,USA-NMFS-5YCHATT
USA,NMFS,5YZ,Gulf of Maine / Georges Bank,NA,USA-NMFS-5YZ
USA,NMFS,5YZSNE,Gulf of Maine / Georges Bank-Southern New England,NA,USA-NMFS-5YZSNE
USA,NMFS,5Z,Georges Bank,NA,USA-NMFS-5Z
USA,NMFS,5ZSNE,Georges Bank-Southern New England,NA,USA-NMFS-5ZSNE
USA,NMFS,AI,Aleutian Islands,NA,USA-NMFS-AI
USA,NMFS,AIES,Aleutian Islands Eastern segment,NA,USA-NMFS-AIES
USA,NMFS,AIWS,Aleutian Islands Western segment,NA,USA-NMFS-AIWS
USA,NMFS,ATL,Atlantic,NA,USA-NMFS-ATL
USA,NMFS,ATLC,Atlantic Coast,NA,USA-NMFS-ATLC
USA,NMFS,BB,Bristol Bay,NA,USA-NMFS-BB
USA,NMFS,BS,Bering Sea,NA,USA-NMFS-BS
USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA,USA-NMFS-BSAI
USA,NMFS,CAL,California,NA,USA-NMFS-CAL
USA,NMFS,CBS,Central Bering Sea,NA,USA-NMFS-CBS
USA,NMFS,CCOD5Y,Cape Cod / Gulf of Maine,NA,USA-NMFS-CCOD5Y
USA,NMFS,CWPAC,Central Western Pacific,NA,USA-NMFS-CWPAC
USA,NMFS,EBS,Eastern Bering Sea,NA,USA-NMFS-EBS
USA,NMFS,EBSAI,Eastern Bering Sea and Aleutian Islands,NA,USA-NMFS-EBSAI
USA,NMFS,EBSAIGA,Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,NA,USA-NMFS-EBSAIGA
USA,NMFS,EBSGA,Eastern Bering Sea and Gulf of Alaska,NA,USA-NMFS-EBSGA
USA,NMFS,EGM,Eastern Gulf of Mexico,NA,USA-NMFS-EGM
USA,NMFS,GA,Gulf of Alaska,NA,USA-NMFS-GA
USA,NMFS,GM,Gulf of Mexico,NA,USA-NMFS-GM
USA,NMFS,GOMNGB,Gulf of Maine / Northern Georges Bank,NA,USA-NMFS-GOMNGB
USA,NMFS,MATLC,Mid-Atlantic Coast,NA,USA-NMFS-MATLC
USA,NMFS,NATL,North Atlantic,NA,USA-NMFS-NATL
USA,NMFS,NCAL,Northern California,NA,USA-NMFS-NCAL
USA,NMFS,NPAC,North Pacific,NA,USA-NMFS-NPAC
USA,NMFS,NPCOAST,Northern Pacific Coast,NA,USA-NMFS-NPCOAST
USA,NMFS,NS,Norton Sound,NA,USA-NMFS-NS
USA,NMFS,NWATL,Northwestern Atlantic,NA,USA-NMFS-NWATL
USA,NMFS,NWATLC,Northwestern Atlantic Coast,NA,USA-NMFS-NWATLC
USA,NMFS,ORECOAST,Oregon Coast,NA,USA-NMFS-ORECOAST
USA,NMFS,PCOAST,Pacific Coast,NA,USA-NMFS-PCOAST
USA,NMFS,PI,Pribilof Islands,NA,USA-NMFS-PI
USA,NMFS,SATL,South Atlantic,NA,USA-NMFS-SATL
USA,NMFS,SATLC,Southern Atlantic coast,NA,USA-NMFS-SATLC
USA,NMFS,SATLCGM,Southern Atlantic coast and Gulf of Mexico,NA,USA-NMFS-SATLCGM
USA,NMFS,SCAL,Southern California,NA,USA-NMFS-SCAL
USA,NMFS,SGBMATL,Southern Georges Bank / Mid-Atlantic,NA,USA-NMFS-SGBMATL
USA,NMFS,SMI,Saint Matthews Island,NA,USA-NMFS-SMI
USA,NMFS,SNE,Southern New England,NA,USA-NMFS-SNE
USA,NMFS,SNEMATL,Southern New England /Mid Atlantic,NA,USA-NMFS-SNEMATL
USA,NMFS,SNEMATLB,Southern New England /Mid Atlantic Bight,NA,USA-NMFS-SNEMATLB
USA,NMFS,SPCOAST,Southern Pacific Coast,NA,USA-NMFS-SPCOAST
USA,NMFS,WATL,Western Atlantic,NA,USA-NMFS-WATL
USA,NMFS,WGM,Western Gulf of Mexico,NA,USA-NMFS-WGM
USA,US State,ATKINS,"Atkins Reservoir, Arkansas",NA,USA-US State-ATKINS
USA,US State,HUNT,"Hunt Creek, Michigan",NA,USA-US State-HUNT
USA,US State,KAB,"Kabegogama Lake, Minnesota",NA,USA-US State-KAB
USA,US State,MIN,"Minter Creek, Washington",NA,USA-US State-MIN
USA,US State,NIMROD,"Nimrod Reservoir, Arkansas",NA,USA-US State-NIMROD
USA,US State,OKA,"Okatibbee Reservoir, Mississippi",NA,USA-US State-OKA
USA,US State,PWS,Prince William Sound,NA,USA-US State-PWS
USA,US State,RI,Rhode Island,NA,USA-US State-RI
USA,US State,ROSS,"Ross Barnett Reservoir, Mississippi",NA,USA-US State-ROSS
USA,US State,SHAL,"Shale Creek, Washington",NA,USA-US State-SHAL
USA,US State,SITKA,Sitka,NA,USA-US State-SITKA
USA,US State,SKY,"South Fork Skykomish River, Washington",NA,USA-US State-SKY
USA,US State,SNAH,"Snahapish Creek, Washington",NA,USA-US State-SNAH
USA,US State,SNOW,"Snow Creek, Washington",NA,USA-US State-SNOW
USA,US State,SPRI,"Spring Creek, Oregon",NA,USA-US State-SPRI
USA,US State,TAYU,"Little Tayuha Creek, Washington",NA,USA-US State-TAYU
USA,US State,WILD,"Wildcat Creek, Washington",NA,USA-US State-WILD
