TSN,SCIENTIFICNAME,KINGDOM,PHYLUM,CLASSNAME,ORDERNAME,FAMILY,GENUS,SPECIES,MYERSNAME,COMMONNAME1,COMMONNAME2,MYERSSCIENTIFICNAME,MYERSFAMILY
551209,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,PHERR,Pacific herring,NA,NA,NA
161813,Sardina pilchardus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,SARDP,European pilchard,Spanish sardine,NA,NA
572698,Sardinella janeiro,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,janeiro,SARDJ,Brazilian sardinella,Brazilian sardine,NA,NA
161729,Sardinops sagax,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,SARD,Sardine,Pacific sardine,NA,NA
161789,Sprattus sprattus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,sprattus,SPRAT,Sprat,NA,NA,NA
692068,Scorpaenichthys marmoratus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,marmoratus,CABEZ,Cabezon,NA,NA,NA
167207,Artediellus uncinatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artediellus,uncinatus,AHSCULPIN,Arctic hookear sculpin,NA,NA,NA
167439,Aspidophoroides monopterygius,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Aspidophoroides,monopterygius,ALLIGATORFISH,Alligatorfish,NA,NA,NA
167408,Cottunculus microps,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Psychrolutidae,Cottunculus,microps,ARCSCULPIN,Arctic sculpin,NA,NA,NA
551435,Coilia dussumieri,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Coilia,dussumieri,GANCHO,Goldspotted grenadier anchovy,NA,NA,NA
161831,Engraulis encrasicolus,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,encrasicolus,ANCHO,Anchovy,European anchovy,NA,NA
161828,Engraulis mordax,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,mordax,NANCHO,Northern anchovy,Californian anchovy,NA,NA
551340,Engraulis ringens,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,ringens,PEANCHO,Peruvian anchoveta,Anchoveta,NA,NA
551338,Engraulis anchoita,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,anchoita,ARGANCHO,Argentine anchoita,Anchoita,NA,NA
164712,Gadus morhua,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,COD,Atlantic cod,NA,NA,NA
164706,Boreogadus saida,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,ARCCOD,Arctic cod,NA,NA,NA
164711,Gadus macrocephalus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,macrocephalus,PCOD,Pacific cod,NA,NA,NA
164744,Melanogrammus aeglefinus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,HAD,Haddock,NA,NA,NA
164758,Merlangius merlangus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,merlangus,WHIT,Whiting,NA,NA,NA
164774,Micromesistius poutassou,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,poutassou,BWHIT,Blue whiting,NA,NA,NA
164775,Micromesistius australis,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,australis,SBWHIT,Southern blue whiting,NA,Polaca,NA
164727,Pollachius virens,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,virens,POLL,Pollock,Saithe,NA,NA
164722,Theragra chalcogramma,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Theragra,chalcogramma,WPOLL,Walleye pollock,NA,NA,NA
164756,Trisopterus esmarkii,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,esmarkii,NPOUT,Norway Pout,NA,NA,NA
167120,Pleurogrammus monopterygius,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Pleurogrammus,monopterygius,ATKA,Atka mackerel,NA,NA,NA
159911,Lamna nasus,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,nasus,PORB,Porbeagle,NA,NA,NA
164499,Lophius americanus,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,americanus,MONK,Monkfish,Goosefish,NA,NA
164502,Lophius budegassa,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,budegassa,BMONK,Black anglerfish,Black-bellied angler,NA,NA
164501,Lophius piscatorius,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,piscatorius,MONK,Angler,Monkfish,NA,NA
164740,Brosme brosme,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Brosme,brosme,CUSK,Cusk,Torsk,NA,NA
164761,Molva dypterygia,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Molva,dypterygia,BLING,Blue ling,NA,NA,NA
164760,Molva molva,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Molva,molva,LING,Ling,NA,NA,NA
168860,Lutjanus synagris,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,synagris,LSNAP,Lane snapper,Silk snapper,NA,NA
168853,Lutjanus campechanus,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,campechanus,RSNAP,Red snapper,NA,NA,NA
165421,Macrourus berglax,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Macrourus,berglax,RGHGRN,Roughhead grenadier,NA,NA,NA
164798,Merluccius capensis,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,capensis,CHAKE,Shallow-water cape hake,South African hake,NA,NA
164795,Merluccius merluccius,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,merluccius,HAKE,Hake,European hake,NA,NA
164799,Merluccius gayi,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,gayi,PEHAKE,Peruvian hake,NA,NA,NA
164792,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,productus,PHAKE,Pacific hake,North Pacific hake,NA,NA
164791,Merluccius bilinearis,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,bilinearis,SHAKE,Silver Hake,NA,NA,NA
642916,Patagonotothen guntheri,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Patagonotothen,guntheri,PATAG,Yellowfin notothen,NA,NA,NA
642852,Gobionotothen gibberifrons,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Gobionotothen,gibberifrons,GOBIO,Humped rockcod ,NA,NA,NA
642886,Lepidonotothen squamifrons,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Lepidonotothen,squamifrons,LEPSQ,Grey rockcod,NA,NA,NA
171105,Notothenia rossii,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Notothenia,rossii,NOTOR,Marbled rockcod,NA,NA,NA
162035,Mallotus villosus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,CAPE,Capelin,NA,NA,NA
172735,Paralichthys dentatus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,dentatus,SFLOUN,Summer flounder,NA,NA,NA
645441,Pseudopentaceros wheeleri,Animalia,Chordata,Actinopterygii,Perciformes,Pentacerotidae,Pseudopentaceros,wheeleri,PAHEAD,Pelagic armorhead,NA,NA,NA
164730,Urophycis chuss,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Urophycis,chuss,RHAKE,Red hake,NA,NA,NA
164732,Urophycis tenuis,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Urophycis,tenuis,WHAKE,White hake,NA,NA,NA
172868,Eopsetta jordani,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,jordani,PSOLE,Petrale sole,NA,NA,NA
172873,Glyptocephalus cynoglossus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,cynoglossus,WITFLOUN,Witch flounder,NA,NA,NA
172877,Hippoglossoides platessoides,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,platessoides,AMPL,American plaice,NA,NA,NA
616041,Hippoglossoides dubius,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,dubius,FLFLOUN,Flathead flounder,NA,NA,NA
172932,Hippoglossus stenolepis,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,stenolepis,PHAL,Pacific halibut,NA,NA,NA
172917,Lepidopsetta bilineata,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,bilineata,RSOLE,Rock sole,NA,NA,NA
172881,Limanda limanda,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda,DAB,Common dab,NA,NA,NA
172911,Limanda proboscidea,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,proboscidea,LHDAB,Longhead dab,NA,NA,NA
616064,Limanda sakhalinensis,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,sakhalinensis,SAKFLOUN,Sakalin flounder,NA,NA,NA
172909,Limanda ferruginea,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,ferruginea,YELL,Yellowtail flounder,NA,NA,NA
172907,Limanda aspera,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,aspera,YSOLE,Yellowfin sole,NA,NA,NA
172921,Parophrys vetulus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,vetulus,ESOLE,English sole,NA,NA,NA
172894,Platichthys flesus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,flesus,FLOUN,Flounder,NA,NA,NA
172893,Platichthys stellatus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,stellatus,STFLOUN,Starry flounder,NA,NA,NA
172901,Pleuronectes quadrituberculatus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,quadrituberculatus,ALPLAIC,Alaska plaice,NA,NA,NA
172902,Pleuronectes platessa,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,platessa,PLAIC,European Plaice,Plaice,NA,NA
172905,Pseudopleuronectes americanus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,americanus,WINFLOUN,Winter flounder,NA,NA,NA
172930,Reinhardtius hippoglossoides,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides,GHAL,Greenland halibut,Greenland turbot,NA,NA
168559,Pomatomus saltatrix,Animalia,Chordata,Actinopterygii,Perciformes,Pomatomidae,Pomatomus,saltatrix,BLUEFISH,Bluefish,NA,NA,NA
564149,Amblyraja radiata,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Amblyraja,radiata,THSKAT,Thorny skate,NA,NA,NA
564139,Dipturus laevis,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Dipturus,laevis,BSKAT,Barndoor skate,NA,NA,NA
564130,Leucoraja erinacea,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,erinacea,LSKAT,Little skate,NA,NA,NA
564136,Leucoraja garmani,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,garmani,RSKAT,Rosette skate,Freckled skate,NA,NA
564145,Leucoraja ocellata,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,ocellata,WSKAT,Winter skate,NA,NA,NA
564151,Malacoraja senta,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Malacoraja,senta,SSKAT,Smooth skate,NA,NA,NA
160855,Raja eglanteria,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,eglanteria,CSKAT,Clearnose skate,NA,NA,NA
172412,Scomber japonicus,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,japonicus,CMACK,Chub mackerel,Pacific chub mackerel,NA,NA
172414,Scomber scombrus,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,scombrus,MACK,Mackerel,Atlantic mackerel,NA,NA
172435,Scomberomorus cavalla,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomberomorus,cavalla,KMACK,King Mackerel,NA,NA,NA
172419,Thunnus alalunga,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus,alalunga,ALBA,Albacore tuna,NA,NA,NA
172421,Thunnus thynnus,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus,thynnus,ATBTUNA,Atlantic bluefin tuna,Northern bluefin tuna,NA,NA
172428,Thunnus obesus,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus,obesus,BIGEYE,Bigeye tuna,NA,NA,NA
172431,Thunnus maccoyii,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus,maccoyii,SBTUNA,Southern bluefin tuna,NA,NA,NA
172423,Thunnus albacares,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus,albacares,YFIN,Yellowfin tuna,NA,NA,NA
172834,Lepidorhombus boscii,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,boscii,FMEG,Fourspotted megrim,NA,NA,NA
172835,Lepidorhombus whiffiagonis,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,whiffiagonis,MEG,Megrim,NA,NA,NA
172746,Scophthalmus aquosus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,aquosus,WINDOW,Windowpane,Windowpane flounder,NA,NA
166827,Scorpaena guttata,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,guttata,CALSCORP,California scorpionfish,NA,NA,NA
166774,Sebastes fasciatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,fasciatus,ACADRED,Acadian redfish,Redfish,NA,NA
166733,Sebastes paucispinis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,paucispinis,BOCACC,Bocaccio,NA,NA,NA
166722,Sebastes goodei,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,goodei,CHILI,Chilipepper rockfish,Chilipepper,NA,NA
166754,Sebastes levis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,levis,COWCOD,Cowcod,NA,NA,NA
166715,Sebastes crameri,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,crameri,DKROCK,Darkblotched rockfish,NA,NA,NA
166767,Sebastes carnatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,carnatus,GOPHER,Gopher rockfish,NA,NA,NA
166707,Sebastes alutus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,alutus,POPERCH,Pacific ocean perch,NA,NA,NA
167862,Serranus scriba,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Serranus,scriba,REDMAR,Ocean perch,Redfish,NA,NA
166756,Sebastes mentella,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,mentella,REDMEN,Deepwater redfish,Redfish,NA,NA
166781,Sebastes norvegicus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,norvegicus,GOLDRED,Golden Redfish,NA,NA,NA
166729,Sebastes miniatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,miniatus,VERMIL,Vermilion rockfish,NA,NA,NA
166719,Sebastes entomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,entomelas,WROCK,Widow rockfish,NA,NA,NA
173002,Solea solea,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Solea,solea,SOLE,Sole,Common sole,NA,NA
647939,Dentex tumifrons,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Dentex,tumifrons,YSBREAM,Yellowback seabream,Yellow sea bream,NA,NA
169231,Chrysophrys auratus,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Chrysophrys,auratus,NZSNAP,New Zealand snapper,Snapper,NA,NA
169207,Pagrus pagrus,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Pagrus,pagrus,RPORGY,Common seabream,Red porgy,NA,NA
647892,Pagrus major,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Pagrus,major,SBREAM,Red seabream,Sea bream,NA,NA
169182,Stenotomus chrysops,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Stenotomus,chrysops,SCUP,Scup,NA,NA,NA
172482,Xiphias gladius,Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae,Xiphias,gladius,SWORD,Swordfish,NA,NA,NA
630979,Zoarces americanus,Animalia,Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,americanus,OPOUT,Ocean pout,NA,NA,NA
162064,Argentina silus,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae,Argentina,silus,ARGEN,Atlantic argentine,NA,NA,NA
162144,Esox masquinongy,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,masquinongy,MASKINOGIES,Maskinonge,NA,NA,NA
162139,Esox lucius,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,lucius,PIKE,Pike,NA,NA,NA
162027,Plecoglossus altivelis,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Plecoglossus,altivelis,AYU,Ayu,NA,NA,NA
161996,Salmo salar,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,ASAL,Atlantic salmon,NA,NA,NA
623394,Coregonus hoyi,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,hoyi,BLO,Bloater,NA,NA,NA
161997,Salmo trutta,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,BRNTRO,Brown Trout,NA,NA,NA
162003,Salvelinus fontinalis,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,BTRO,Freshwater brook trout,NA,NA,NA
161980,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,CHNK,Chinook salmon,NA,NA,NA
161976,Oncorhynchus keta,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,keta,CHUM,Chum salmon,NA,NA,NA
161977,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,COHO,Coho salmon,NA,NA,NA
162002,Salvelinus namaycush,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,namaycush,LTRO,Lake trout,NA,NA,NA
161941,Coregonus clupeaformis,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,LWHFSH,Lake Whitefish,NA,NA,NA
161975,Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,PINK,Pink salmon,NA,NA,NA
161979,Oncorhynchus nerka,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,nerka,SOCK,Sockeye salmon,NA,NA,NA
161989,Oncorhynchus mykiss,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,STRO,Steelhead trout,NA,NA,NA
161963,Coregonus albula,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,albula,VENDACE,Vendace,NA,NA,NA
161950,Coregonus lavaretus,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,lavaretus,WHFSH,Whitefish,NA,NA,NA
172978,Glyptocephalus zachirus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,zachirus,REXSOLE,Rex sole,NA,NA,NA
616029,Reinhardtius stomias,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,stomias,ARFLOUND,Arrowtooth flounder,NA,NA,NA
616392,Lepidopsetta polyxystra,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,polyxystra,NRSOLE,Northern rock sole,NA,NA,NA
172875,Hippoglossoides elassodon,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,elassodon,FLSOLE,Flathead sole,NA,NA,NA
166735,Sebastes polyspinis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,polyspinis,NROCK,Northern rockfish,NA,NA,NA
166706,Sebastes aleutianus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,aleutianus,REYEROCK,Rougheye rockfish,NA,NA,NA
172933,Hippoglossus hippoglossus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,hippoglossus,ATHAL,Atlantic Halibut,NA,NA,NA
97314,Homarus americanus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,LOBSTER,American lobster,NA,NA,NA
170479,Tautoga onitis,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautoga,onitis,TAUTOG,Tautog,NA,NA,NA
171677,Ammodytes marinus,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,marinus,SEEL,Sand eel,Sand lance,NA,NA
171674,Ammodytes dubius,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,dubius,SANDLANCE,Northern sand lance,NA,NA,NA
173001,Solea vulgaris,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Solea,vulgaris,SOLE,common European sole,common sole,NA,NA
550883,Rexea solandri,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,Rexea,solandri,GEMFISH,common gemfish,hake,NA,NA
170262,Nemadactylus macropterus,Animalia,Chordata,Actinopterygii,Perciformes,Cheilodactylidae,Nemadactylus,macropterus,MORWONG,Hawaiian morwong,Jackass morwong,NA,NA
172534,Seriolella punctata,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,Seriolella,punctata,SILVERFISH,Silverfish,NA,NA,NA
644187,Neoplatycephalus richardsoni,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,Neoplatycephalus,richardsoni,TIGERFLAT,Tiger flathead,NA,NA,NA
646043,Sillago flindersi,Animalia,Chordata,Actinopterygii,Perciformes,Sillaginidae,Sillago,flindersi,SWHIT,School whiting,NA,NA,NA
172567,Peprilus triacanthus,Animalia,Chordata,Actinopterygii,Perciformes,Stromateidae,Peprilus,triacanthus,BUTTER,Atlantic butterfish,butterfish,NA,NA
160200,Rhizoprionodon terraenovae,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,terraenovae,SNOSESHAR,Atlantic sharpnose shark,NA,NA,NA
80944,Spisula solidissima,Animalia,Mollusca,Bivalvia,Veneroida,Mactridae,Spisula,solidissima,SURF,Atlantic surfclam,NA,NA,NA
166727,Sebastes melanops,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,melanops,BLACKROCK,Black rockfish,NA,NA,NA
167687,Centropristis striata,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Centropristis,striata,BSBASS,Black sea bass,NA,NA,NA
160304,Carcharhinus acronotus,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,acronotus,BNOSESHAR,Blacknose shark,NA,NA,NA
160318,Carcharhinus limbatus,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,limbatus,BTIPSHAR,Blacktip shark,NA,NA,NA
97936,Paralithodes platypus,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,platypus,BKINGCRAB,Blue king crab,NA,NA,NA
