ASSESSID,LME_NAME,NUM_TOTAL,NUM_SSB,SCIENTIFICNAME,LME_NUMBER,LME_COUNT,collapse_admb,TS_LENGTH,YEAR_START,YEAR_COLLAPSE,YEAR_END
NEFSC-MONKSGBMATL-1964-2006-RICHARDS,Northeast U.S. Continental Shelf,27,0,Lophius americanus,7,1,0,27,1947,1962,1974
NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,Northeast U.S. Continental Shelf,27,27,Pseudopleuronectes americanus,7,1,1,27,1964,1988,1988
NEFSC-AMPL5YZ-1960-2008-OBRIEN,Northeast U.S. Continental Shelf,29,28,Hippoglossoides platessoides,7,1,0,29,1958,1967,1987
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,Northeast U.S. Continental Shelf,0,30,Micropogonias undulatus,7,1,0,30,1962,1965,1992
NEFSC-QUAHATLC-1978-2008-CHUTE,Northeast U.S. Continental Shelf,31,0,Arctica islandica,7,1,0,31,1954,1984,1985
NEFSC-CODGB-1960-2008-BAUM,Northeast U.S. Continental Shelf,31,30,Gadus morhua,7,1,1,31,1950,1971,1971
NEFSC-HAD5Y-1956-2008-BAUM,Northeast U.S. Continental Shelf,32,31,Melanogrammus aeglefinus,7,1,1,32,1970,1982,1982
NEFSC-SCALLMATLC-1964-2006-HART,Northeast U.S. Continental Shelf,32,0,Placopecten magellanicus,7,1,1,32,1957,1962,1962
NEFSC-TILEMATLC-1973-2008-NITSCHKE,Northeast U.S. Continental Shelf,33,0,Lopholatilus chamaeleonticeps,7,2,0,33,1952,1962,1985
NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,Northeast U.S. Continental Shelf,33,0,Scophthalmus aquosus,7,1,1,33,1953,1965,1965
NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON,Northeast U.S. Continental Shelf,33,0,Scophthalmus aquosus,7,1,1,33,1946,1971,1971
DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE,Northeast U.S. Continental Shelf,34,34,Melanogrammus aeglefinus,7,2,1,34,1963,1987,1987
DFO-HAD5Zejm-1968-2003-PREFONTAINE,Northeast U.S. Continental Shelf,35,35,Melanogrammus aeglefinus,7,1,1,35,1956,1971,1971
NEFSC-YELLSNEMATL-1935-2008-BAUM,Northeast U.S. Continental Shelf,35,35,Limanda ferruginea,7,1,1,35,1975,1985,1985
NEFSC-YELLGB-1935-2008-BAUM,Northeast U.S. Continental Shelf,36,35,Limanda ferruginea,7,1,1,36,1969,1993,1993
DFO-MAR-CUSK4X-1970-2007-RICARD,Northeast U.S. Continental Shelf,38,0,Brosme brosme,7,1,1,38,1966,1994,1994
NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON,Northeast U.S. Continental Shelf,39,0,Illex illecebrosus,7,3,1,39,1955,1956,1956
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,Northeast U.S. Continental Shelf,40,40,Centropristis striata,7,1,0,40,1947,1948,1987
NEFSC-SHAKEGOMNGB-1955-2005-COL,Northeast U.S. Continental Shelf,43,0,Merluccius bilinearis,7,1,1,43,1950,1987,1987
NEFSC-SHAKESGBMATL-1955-2005-COL,Northeast U.S. Continental Shelf,43,0,Merluccius bilinearis,7,1,1,43,1950,1983,1983
NEFSC-POLL5YZ-1963-2007-MAYO,Northeast U.S. Continental Shelf,44,0,Pollachius virens,7,1,1,44,1952,1955,1955
NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE,Northeast U.S. Continental Shelf,45,45,Urophycis tenuis,7,1,0,45,1957,1983,2002
NAFO-SC-YELL3LNO-1960-2009-BAUM,Northeast U.S. Continental Shelf,45,0,Limanda ferruginea,7,2,1,45,1962,1985,1985
RIDEM-TAUTOGRI-1959-2007-COLLIE,Northeast U.S. Continental Shelf,49,0,Tautoga onitis,7,1,0,49,1955,1970,2004
RIDEM-LOBSTERRI-1959-2007-COLLIE,Northeast U.S. Continental Shelf,49,0,Homarus americanus,7,1,1,49,1961,1992,1992
RIDEM-WINFLOUNDRI-1959-2007-COLLIE,Northeast U.S. Continental Shelf,49,0,Pseudopleuronectes americanus,7,1,1,49,1961,1993,1993
NMFS-MENATLAN-1940-2005-STANTON,Northeast U.S. Continental Shelf,51,0,Brevoortia tyrannus,7,3,0,51,1954,1984,2005
SEFSC-SBARSHARATL-1975-2004-FAUCONNET,Scotian Shelf,30,0,Carcharhinus plumbeus,8,2,0,30,1950,1961,1980
DFO-SG-HERR4TFA-1974-2007-PREFONTAINE,Scotian Shelf,30,30,Clupea harengus,8,1,1,30,1951,1951,1951
DFO-SG-HERR4TSP-1974-2007-PREFONTAINE,Scotian Shelf,30,30,Clupea harengus,8,1,1,30,1958,1967,1967
DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,Scotian Shelf,0,33,Gadus morhua,8,1,0,33,1977,2008,2010
DFO-SG-COD4TVn-1965-2009-RICARD,Scotian Shelf,39,39,Gadus morhua,8,1,1,39,1967,1979,1979
DFO-HERR4VWX-1964-2006-PREFONTAINE,Scotian Shelf,42,42,Clupea harengus,8,1,0,42,1956,1992,1998
NAFO-SC-AMPL3M-1960-2007-BAUM,Newfoundland-Labrador Shelf,20,20,Hippoglossoides platessoides,9,1,1,20,1955,1973,1973
NAFO-SC-COD3M-1959-2008-BAUM,Newfoundland-Labrador Shelf,21,21,Gadus morhua,9,1,1,21,1964,1975,1975
DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE,Newfoundland-Labrador Shelf,28,28,Gadus morhua,9,1,1,28,1946,1972,1972
DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,Newfoundland-Labrador Shelf,0,31,Clupea harengus,9,1,0,31,1967,1985,1998
NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE,Newfoundland-Labrador Shelf,32,32,Reinhardtius hippoglossoides,9,1,0,32,1962,1990,1994
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,Newfoundland-Labrador Shelf,34,34,Gadus morhua,9,1,1,34,1975,1985,1985
DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,Newfoundland-Labrador Shelf,40,40,Clupea harengus,9,1,0,40,1952,1968,1992
DFO-NFLD-COD2J3KL-1850-2005-RICARD,Newfoundland-Labrador Shelf,0,44,Gadus morhua,9,1,0,44,1950,1965,1994
NAFO-SC-AMPL3LNO-1955-2007-BAUM,Newfoundland-Labrador Shelf,48,48,Hippoglossoides platessoides,9,1,1,48,1947,1985,1985
NAFO-SC-COD3NO-1953-2007-BAUM,Newfoundland-Labrador Shelf,49,49,Gadus morhua,9,1,1,49,1958,1989,1989
NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM,Newfoundland-Labrador Shelf,50,0,Sebastes spp,9,1,0,50,1953,1975,2003
IMARPE-PANCHPERUNC-1963-2004-RICARD,Humboldt Current,0,42,Engraulis ringens,13,1,1,42,1948,1962,1962
SPRFMO-CHTRACCH-1950-2010-RICARD,Humboldt Current,41,53,Trachurus murphyi,13,1,1,53,1955,1969,1969
INIDEP-SBWHITARGS-1985-2007-Parma,Patagonian Shelf,21,21,Micromesistius australis,14,1,1,21,1949,1970,1970
INIDEP-ARGHAKENARG-1985-2007-Parma,Patagonian Shelf,22,22,Merluccius hubbsi,14,1,0,22,1979,1989,2001
INIDEP-PATGRENADIERSARG-1983-2006-Parma,Patagonian Shelf,22,22,Macruronus magellanicus,14,1,0,22,1948,1968,1970
INIDEP-ARGHAKESARG-1985-2008-Parma,Patagonian Shelf,23,23,Merluccius hubbsi,14,1,0,23,1971,1983,1994
AFWG-CAPENOR-1965-2007-MINTO,Barents Sea,35,27,Mallotus villosus,20,1,1,35,1952,1955,1955
AFWG-GHALNEAR-1959-2007-JENNINGS,Barents Sea,43,43,Reinhardtius hippoglossoides,20,2,1,43,1963,1986,1986
AFWG-POLLNEAR-1957-2006-MINTO,Barents Sea,47,47,Pollachius virens,20,2,0,47,1945,1945,1992
AFWG-HADNEAR-1947-2006-MINTO,Barents Sea,57,57,Melanogrammus aeglefinus,20,2,1,57,1950,2004,2004
AFWG-CODNEAR-1943-2006-MINTO,Barents Sea,61,61,Gadus morhua,20,2,0,61,1945,2001,2006
AFWG-CODCOASTNOR-1982-2006-MINTO,Norwegian Sea,23,23,Gadus morhua,21,2,1,23,1956,1957,1957
WGBFAS-SOLEIIIa-1982-2007-JENNINGS,North Sea,23,24,Solea vulgaris,22,1,0,24,1985,1993,2009
WGNSSK-NPOUTNS-1983-2007-MINTO,North Sea,24,25,Trisopterus esmarkii,22,1,0,25,1974,1991,1999
WGNSSK-SEELNS-1983-2007-MINTO,North Sea,25,25,Ammodytes marinus,22,1,0,25,1953,1978,1978
WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,North Sea,27,27,Merlangius merlangus,22,2,0,27,1973,1974,2000
WGBFAS-CODKAT-1970-2006-MINTO,North Sea,36,36,Gadus morhua,22,1,1,36,1967,1987,1987
WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO,North Sea,40,40,Pollachius virens,22,2,0,40,1953,1990,1993
WGNSSK-HADNS-IIIa-1963-2006-MINTO,North Sea,44,44,Melanogrammus aeglefinus,22,1,0,44,1953,1962,1997
WGNSSK-CODNS-1962-2007-MINTO,North Sea,44,45,Gadus morhua,22,1,1,45,1951,1984,1984
HAWG-HERRNS-1960-2007-MINTO,North Sea,47,47,Clupea harengus,22,1,1,47,1960,1998,1998
WGBFAS-HERR31-1979-2006-JENNINGS,Baltic Sea,27,27,Clupea harengus,23,1,0,27,1957,1977,1984
WGBFAS-HERRRIGA-1976-2007-JENNINGS,Baltic Sea,30,31,Clupea harengus,23,1,0,31,1965,1994,1996
WGBFAS-HERR2532-1973-2006-JENNINGS,Baltic Sea,33,33,Clupea harengus,23,1,0,33,1952,1961,1985
WGBFAS-HERR30-1972-2007-JENNINGS,Baltic Sea,34,34,Clupea harengus,23,1,0,34,1969,1992,2003
WGBFAS-SPRAT22-32-1973-2007-JENNINGS,Baltic Sea,33,34,Sprattus sprattus,23,1,0,34,1961,1962,1995
WGBFAS-CODBA2224-1969-2007-JENNINGS,Baltic Sea,37,38,Gadus morhua,23,1,0,38,1965,2001,2003
WGBFAS-CODBA2532-1964-2007-JENNINGS,Baltic Sea,41,41,Gadus morhua,23,1,1,41,1963,1971,1971
WGHMM-SOLEVIII-1982-2006-JENNINGS,Celtic-Biscay Shelf,23,23,Solea vulgaris,24,2,0,23,1963,1979,1986
WGNSSK-SOLEVIId-1981-2006-MINTO,Celtic-Biscay Shelf,25,25,Solea vulgaris,24,1,0,25,1945,1947,1970
WGSSDS-WHITVIIek-1982-2007-JENNINGS,Celtic-Biscay Shelf,25,25,Merlangius merlangus,24,1,0,25,1956,1960,1981
WGNPBW-BWHITNEA-1980-2007-JENNINGS,Celtic-Biscay Shelf,27,27,Micromesistius poutassou,24,5,0,27,1981,1996,2008
WGHMM-HAKENRTN-1977-2007-JENNINGS,Celtic-Biscay Shelf,28,29,Merluccius merluccius,24,2,0,29,1953,1970,1982
WGNSDS-HADVIa-1977-2006-MINTO,Celtic-Biscay Shelf,29,29,Melanogrammus aeglefinus,24,1,0,29,1965,1975,1994
WGNSDS-CODVIa-1977-2006-MINTO,Celtic-Biscay Shelf,29,29,Gadus morhua,24,1,1,29,1976,1977,1977
WGSSDS-PLAICCELT-1976-2006-JENNINGS,Celtic-Biscay Shelf,30,30,Pleuronectes platessa,24,1,0,30,1964,1978,1994
HAWG-HERRVIaVIIbc-1969-2000-MINTO,Celtic-Biscay Shelf,31,31,Clupea harengus,24,1,0,31,1946,1971,1977
WGSSDS-PLAICECHW-1975-2006-JENNINGS,Celtic-Biscay Shelf,31,31,Pleuronectes platessa,24,1,0,31,1971,1991,2002
WGMHSA-MACKNEICES-1972-2007-JENNINGS,Celtic-Biscay Shelf,35,35,Scomber scombrus,24,3,0,35,1952,1968,1987
WGSSDS-SOLECS-1970-2006-JENNINGS,Celtic-Biscay Shelf,36,36,Solea vulgaris,24,1,0,36,1967,1996,2003
WGNSDS-SOLEIS-1968-2006-MINTO,Celtic-Biscay Shelf,37,37,Solea vulgaris,24,1,0,37,1950,1958,1987
WGSSDS-SOLEVIIe-1968-2006-JENNINGS,Celtic-Biscay Shelf,38,38,Solea vulgaris,24,1,0,38,1953,1989,1991
WGNSDS-CODIS-1968-2006-MINTO,Celtic-Biscay Shelf,39,39,Gadus morhua,24,1,1,39,1961,1980,1980
WGNSDS-PLAICIS-1962-2006-MINTO,Celtic-Biscay Shelf,43,43,Pleuronectes platessa,24,1,0,43,1964,1966,2007
HAWG-HERRNIRS-1960-2006-JENNINGS,Celtic-Biscay Shelf,46,46,Clupea harengus,24,1,1,46,1954,1955,1955
HAWG-HERRVIa-1957-2006-MINTO,Celtic-Biscay Shelf,49,49,Clupea harengus,24,1,1,49,1947,1973,1973
WGHMM-FMEG8c9a-1986-2006-JENNINGS,Iberian Coastal,21,21,Lepidorhombus boscii,25,1,0,21,1958,1978,1979
WGHMM-MEG8c9a-1985-2007-JENNINGS,Iberian Coastal,21,21,Lepidorhombus whiffiagonis,25,1,0,21,1975,1991,1996
ICCAT-SWORDMED-1968-2006-JENSEN,Mediterranean Sea,39,0,Xiphias gladius,26,1,0,39,1968,1972,2007
MARAM-ANCHOSA-1984-2006-deMoor,Benguela Current,23,23,Engraulis encrasicolus,29,2,0,23,1985,2001,2008
MARAM-SARDSA-1984-2006-deMoor,Benguela Current,23,23,Sardinops sagax,29,2,1,23,1981,1995,1995
MARAM-SAABALONESA-1951-2008-PLAGANYI,Benguela Current,58,58,Haliotis midae,29,1,0,58,1951,1977,2009
MARAM-SSLOBSTERSASC-1973-2008-Johnston,Agulhas Current,36,36,Palinurus gilchristi,30,1,0,36,1965,1988,2001
MARAM-CTRACSA-1950-2007-Johnston,Agulhas Current,58,58,Trachurus capensis,30,1,0,58,1948,1994,2006
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,North Australian Shelf,0,37,Penaeus esculentus,39,1,0,37,1973,2010,2010
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,North Australian Shelf,0,37,Penaeus esculentus,39,1,0,37,1949,1960,1986
CSIRO-OROUGHYCASCADE-1987-2006-FULTON,Southeast Australian Shelf,20,20,Hoplostethus atlanticus,42,1,0,20,1947,1957,1967
CSIRO-WAREHOUESE-1984-2006-FULTON,Southeast Australian Shelf,23,23,Seriolella brama,42,1,1,23,1983,1983,1983
CSIRO-SILVERFISHSE-1978-2006-FULTON,Southeast Australian Shelf,29,29,Seriolella punctata,42,1,0,29,1964,1992,1993
CSIRO-OROUGHYSE-1978-2007-FULTON,Southeast Australian Shelf,30,30,Hoplostethus atlanticus,42,1,0,30,1947,1969,1977
CSIRO-NZLINGESE-1968-2007-FULTON,Southeast Australian Shelf,40,40,Genypterus blacodes,42,1,0,40,1945,1965,1985
CSIRO-GEMFISHSE-1966-2007-FULTON,Southeast Australian Shelf,42,42,Rexea solandri,42,1,1,42,1945,1987,1987
CSIRO-SWHITSE-1945-2007-FULTON,Southeast Australian Shelf,63,63,Sillago flindersi,42,1,0,63,1945,1952,2008
CSIRO-WAREHOUWSE-1984-2006-FULTON,Southwest Australian Shelf,23,23,Seriolella brama,43,1,0,23,1963,1985,1986
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,Southwest Australian Shelf,30,30,Platycephalus conatus,43,1,0,30,1976,2003,2006
CSIRO-NZLINGWSE-1968-2007-FULTON,Southwest Australian Shelf,40,40,Genypterus blacodes,43,1,0,40,1965,1983,2005
CSIRO-BIGHTREDSE-1958-2007-FULTON,Southwest Australian Shelf,50,50,Centroberyx gerrardi,43,1,0,50,1960,1975,2010
NIWA-OROUGHYNZMEC-1981-2004-JENSEN,New Zealand Shelf,24,24,Hoplostethus atlanticus,46,1,0,24,1974,1997,1998
NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN,New Zealand Shelf,27,27,Genypterus blacodes,46,1,0,27,1955,1974,1982
NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN,New Zealand Shelf,28,28,Pseudocyttus maculatus,46,1,0,28,1980,1985,2008
NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN,New Zealand Shelf,28,28,Micromesistius australis,46,1,0,28,1980,1993,2008
NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN,New Zealand Shelf,30,0,Jasus edwardsii,46,1,0,30,1948,1949,1978
NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN,New Zealand Shelf,30,0,Jasus edwardsii,46,1,1,30,1968,1981,1981
NIWA-AUSSALMONNZ-1975-2006-JENSEN,New Zealand Shelf,32,32,Arripis trutta,46,1,0,32,1966,1979,1998
NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN,New Zealand Shelf,32,32,Pseudocyttus maculatus,46,1,0,32,1961,1976,1993
NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN,New Zealand Shelf,32,32,Merluccius australis,46,1,0,32,1953,1961,1985
NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN,New Zealand Shelf,33,33,Merluccius australis,46,1,0,33,1964,1979,1997
