c_chloroA,c_harvest,c_year,chloroA_pred,harvest_pred,year_pred,ln_chloroA,ln_harvest,year,surv_chloroA,surv_harvest,surv_year,chloroA,harvest
0.76934877,1.303442816,0.13432023,0.997448302,0.997204964,0.997710275,0.06106064,-0.410869144,1979,0.846984967,0.833658258,0.861566726,1.06296337,0.663073693
0.844110675,1.42977434,0.188048325,0.997415556,0.997144101,0.99768919,0.112079293,-0.096405599,1980,0.845179442,0.83035744,0.86038402,1.118601554,0.908095619
0.91887258,1.556105864,0.24177642,0.997382391,0.997081917,0.997667911,0.163097946,0.218057947,1981,0.843354671,0.826998246,0.859192069,1.177151981,1.243659131
0.993634485,1.682437388,0.295504515,0.997348801,0.997018382,0.997646437,0.214116599,0.532521492,1982,0.841510499,0.823579947,0.857990816,1.238767085,1.703221558
1.06839639,1.808768912,0.34923261,0.997314781,0.996953469,0.997624766,0.265135252,0.846985037,1983,0.839646774,0.82010182,0.856780205,1.303607279,2.332603526
1.143158295,1.935100436,0.402960705,0.997280326,0.996887147,0.997602895,0.316153905,1.161448582,1984,0.837763341,0.816563143,0.855560179,1.371841372,3.194557506
1.2179202,2.06143196,0.4566888,0.99724543,0.996819385,0.997580824,0.367172557,1.475912128,1985,0.835860048,0.812963204,0.854330681,1.44364701,4.375024534
1.292682105,2.187763484,0.510416895,0.997210088,0.996750154,0.99755855,0.41819121,1.790375673,1986,0.833936742,0.809301295,0.853091653,1.519211135,5.991702963
1.36744401,2.314095008,0.56414499,0.997174293,0.99667942,0.997536071,0.469209863,2.104839218,1987,0.831993271,0.805576718,0.85184304,1.598730478,8.205783561
1.442205915,2.440426532,0.617873085,0.997138041,0.996607152,0.997513386,0.520228516,2.419302763,1988,0.830029482,0.801788782,0.850584783,1.682412064,11.23802102
1.51696782,2.566758056,0.67160118,0.997101325,0.996533317,0.997490493,0.571247169,2.733766308,1989,0.828045223,0.797936806,0.849316826,1.770473755,15.39074429
1.591729725,2.69308958,0.725329275,0.997064139,0.996457881,0.997467389,0.622265822,3.048229854,1990,0.826040345,0.79402012,0.848039111,1.863144817,21.07800023
1.66649163,2.819421104,0.77905737,0.997026477,0.996380809,0.997444073,0.673284475,3.362693399,1991,0.824014695,0.790038066,0.846751583,1.960666516,28.86683617
1.741253535,2.945752628,0.832785465,0.996988334,0.996302066,0.997420543,0.724303128,3.677156944,1992,0.821968123,0.785989996,0.845454183,2.063292747,39.53383724
1.81601544,3.072084152,0.88651356,0.996949703,0.996221617,0.997396797,0.77532178,3.991620489,1993,0.819900481,0.78187528,0.844146855,2.171290694,54.14255575
1.890777345,3.198415676,0.940241655,0.996910578,0.996139424,0.997372833,0.826340433,4.306084035,1994,0.817811619,0.777693298,0.842829541,2.284941525,74.14955258
1.96553925,3.3247472,0.99396975,0.996870953,0.996055451,0.997348649,0.877359086,4.62054758,1995,0.815701389,0.77344345,0.841502185,2.404541128,101.5496234
2.040301155,3.451078724,1.047697845,0.996830821,0.995969658,0.997324243,0.928377739,4.935011125,1996,0.813569643,0.769125152,0.84016473,2.530400876,139.0746897
2.11506306,3.577410248,1.10142594,0.996790176,0.995882007,0.997299613,0.979396392,5.24947467,1997,0.811416236,0.764737837,0.838817119,2.66284844,190.4661846
2.189824965,3.703741772,1.155154035,0.996749012,0.995792458,0.997274757,1.030415045,5.563938215,1998,0.809241022,0.76028096,0.837459294,2.802228644,260.8480921
2.26458687,3.830073296,1.20888213,0.996707321,0.99570097,0.997249672,1.081433698,5.878401761,1999,0.807043856,0.755753995,0.8360912,2.948904359,357.2378336
2.339348775,3.95640482,1.262610225,0.996665097,0.995607501,0.997224358,1.132452351,6.192865306,2000,0.804824595,0.751156441,0.834712779,3.103257451,489.245939
2.41411068,4.082736344,1.31633832,0.996622334,0.995512009,0.997198811,1.183471003,6.507328851,2001,0.802583097,0.746487819,0.833323975,3.265689774,670.0342638
2.488872585,4.209067868,1.370066415,0.996579025,0.995414451,0.997173029,1.234489656,6.821792396,2002,0.80031922,0.741747676,0.831924732,3.436624214,917.6282905
2.56363449,4.335399392,1.42379451,0.996535162,0.995314782,0.997147011,1.285508309,7.136255941,2003,0.798032824,0.736935585,0.830514992,3.616505793,1256.714358
2.638396395,4.461730916,1.477522605,0.996490738,0.995212958,0.997120755,1.336526962,7.450719487,2004,0.795723772,0.732051149,0.8290947,3.805802828,1721.101009
2.7131583,4.58806244,1.5312507,0.996445748,0.995108931,0.997094257,1.387545615,7.765183032,2005,0.793391925,0.727094,0.8276638,4.005008148,2357.089872
2.787920205,4.714393964,1.584978795,0.996400182,0.995002655,0.997067516,1.438564268,8.079646577,2006,0.791037148,0.722063801,0.826222234,4.214640376,3228.092154
2.86268211,4.840725488,1.63870689,0.996354034,0.994894082,0.99704053,1.489582921,8.394110122,2007,0.788659308,0.71696025,0.824769948,4.435245284,4420.951053
2.937444015,4.967057012,1.692434985,0.996307297,0.994783162,0.997013296,1.540601574,8.708573668,2008,0.786258272,0.711783078,0.823306886,4.667397209,6054.600453
2.943136,4.968,1.693,0.996303714,0.994782325,0.997013008,1.54448587,8.710920947,2009,0.786074515,0.711744156,0.823291442,4.68556202,6068.828983
