LME_NAME,LME_NUMBER,Socioeconomic_Index_(HDI),Fishery_Aquaculture_Index,Tourism_Index,Ship_and_Oil_Index,Marine_Industry_Activity_Index,Fish_species_richness,Geometric_mean_species_length_(cm),SST_Change_(°C)_1982-2006,SAL_avg,SAL_sd,SST_avg,SST_sd,WINDSPE_avg,WINDSPE_sd,SAL_SST_WINDSPE_num_obs,DIN,DON,PN,DIP,DOP,PP,DSi,N:P_molar_ratio,STN_Basin_Count_nutrients,DO_avg,DO_sd,DO_num_obs,Chl-a_Month_Min,Chl-a_Month_Max,Chl-a_Min,Chl-a_Max,Chl-a-avg,Count_Density_micro_(counts/km2),Count_Density_macro_(counts/km2),Count_Density_total_(counts/km2),Weight_Density_micro_(g/km2),Weight_Density_macro_(g/km2),Weight_Density_total_(g/km2),PCO2_avg,PCO2_sd,PCO2_num_obs
Patagonian Shelf,14,86.8,2.8,8.2,5.1,5.2,334,46.67,0.08,33.51,0.05,14.73,17.16,8.55,0.91,6,0.51,0.29,0.16,0.02,0.02,0.08,1.91,27.5,84,0.46,0.01,4,AUG,NOV,0.53,1.22,0.87,99.1,7.5,110.7,0.5,3.6,4.1,333.3,105.1,6
South Brazil Shelf,15,77.5,2.2,4.7,8.7,6.6,966,42.39,0.53,36.22,0.04,25.57,0.06,6.34,0.02,2,0.19,0.06,0.05,0.03,0,0.02,0.81,14.93,26,0.42,0,1,JAN,AUG,0.15,0.41,0.25,13674.2,600.4,14401.1,71.7,819.9,893,354.4,47.5,2
East Brazil Shelf,16,77.5,2.3,4.7,8.7,6.6,894,41.95,0.3,36.56,0.07,27.44,0.07,6.76,0.4,4,0.1,0.07,0.05,0.01,0,0.02,0.77,21.74,48,0.16,0,4,DEC,JUN,0.07,0.11,0.09,1934.1,185.5,2165.3,9.1,145.5,154.8,378.8,100.2,4
North Brazil Shelf,17,77.1,1.8,3.4,6.3,4.8,933,37.46,0.6,34.67,0.6,27.16,0.06,8.53,0,2,1.46,2.5,2.39,0.14,0.14,1.01,24.62,11.16,61,0.2,0,4,NOV,JUN,0.23,0.57,0.36,2050.8,150.2,2225,9.6,127.1,136.9,372.8,14.4,2
West Greenland Shelf,18,na,na,na,na,na,157,45.05,0.73,33.74,0.23,0.31,1.5,9.74,1.2,4,0.05,0.04,0.05,0,0,0.02,0.17,27.72,345,0.64,0.07,13,MAR,MAY,0.27,0.71,0.47,365.6,40.5,407.1,1.6,22.5,24.1,303.9,157.9,4
Greenland Sea,19,na,na,na,na,na,162,41.22,0.47,34.15,0.43,0.49,2.46,11.29,0.9,17,0.02,0.02,0.02,0,0,0.01,0.12,20.99,78,0.63,0.01,13,MAR,JUN,0.18,0.67,0.39,2158.8,180.1,2340.4,10,148.9,158.9,297.6,140.1,17
Barents Sea,20,83.9,10.8,1.3,10,8.4,59,38.52,0.12,34.58,0.05,1.5,3.56,10.67,0.41,21,0.17,0.13,0.1,0.01,0.01,0.04,1.23,15.46,192,0.56,0.03,33,MAR,OCT,0.27,1.93,0.7,2135.4,172,2312,9.8,143.2,153.4,330.3,623.7,21
Norwegian Shelf,21,95.6,10.7,3.7,28,19.7,232,53.76,0.85,35,0.01,4.88,2.97,11.77,0.12,12,0.02,0.02,0.03,0,0,0.02,0.49,10.59,23,0.43,0.01,9,MAR,JUN,0.21,0.7,0.48,4414,323.8,4739.8,21.2,315.6,336.8,312.5,38.7,12
North Sea,22,94,5.3,14.4,16.4,13.8,190,60.89,1.31,34.83,0.05,7.59,0.25,12.3,0.04,3,0.59,0.15,0.08,0.05,0.01,0.03,1.12,29.76,82,0.91,0.06,3,JUL,JAN,0.81,3.06,1.25,6223.2,409.5,6642.5,30.8,436.9,467.9,332,89.5,3
Baltic Sea,23,90.3,2.1,8.1,2.4,3.5,157,53.85,1.35,na,na,na,na,na,na,0,0.32,0.13,0.07,0.02,0.01,0.03,0.99,20.6,119,1.19,0,1,FEB,JUL,2.07,5.76,3.78,9235.5,273.4,9534.5,47.6,382.8,431.6,na,na,0
Celtic-Biscay Shelf,24,92.2,2.5,38.8,14.6,17,317,56.9,0.72,35.44,0,11.26,0.17,12.12,0.57,2,0.63,0.1,0.07,0.05,0.01,0.03,1.14,21.07,79,0.42,0,4,JAN,MAY,0.45,0.98,0.62,9979.7,642.5,10656.5,51.1,752.5,804.7,338.5,48.5,2
Iberian Coastal,25,91.2,2.5,47.3,3.2,11.9,617,45.45,0.68,na,na,na,na,na,na,0,0.11,0.04,0.03,0.02,0,0.01,0.39,14.61,34,na,na,0,SEP,APR,0.23,0.59,0.34,9916.3,778.2,10706.9,50.5,867,917.8,na,na,0
Mediterranean Sea,26,83.3,1.1,27.2,4.6,8.4,711,42.02,0.71,na,na,na,na,na,na,0,0.55,0.16,0.22,0.09,0.01,0.12,1.61,9.04,248,0.52,0,9,AUG,FEB,0.09,0.25,0.16,44733.6,1930.1,46743.1,261.1,3297,3563.9,na,na,0
Canary  Current,27,61.2,2.4,14.3,0.8,3.8,12630,40.44,0.52,36.67,0.02,18.93,0.72,7.2,0,2,0.04,0.03,0.03,0,0,0.01,0.23,13.37,60,0.57,0.06,5,SEP,FEB,0.24,0.58,0.37,4066.5,337.5,4416.1,19.4,314.4,334.2,357,9.5,2
Guinea  Current,28,47.6,0.4,0.3,0.7,0.6,724,45.96,0.46,33.86,1.29,27.89,0.19,4.1,0.75,4,0.68,0.8,0.67,0.03,0.04,0.31,7.19,14.23,83,0.28,0,7,MAY,JAN,0.24,0.45,0.33,3719.7,209.7,3968,17.9,211.4,230.1,366.2,106.5,4
Benguela  Current,29,53.1,1.8,2.1,2.8,2.5,815,46.27,0.24,35.38,0,20.3,0.06,8.11,0.16,2,0.09,0.04,0.2,0,0,0.09,0.41,21.36,54,0.8,0.05,5,JAN,SEP,0.43,0.75,0.57,727.8,30.8,765.8,3.3,24.6,28.2,336.7,124.2,2
Agulhas Current,30,47.6,0.9,1.8,0.6,0.9,13810,32.78,0.2,35.25,0.03,27.08,4.69,6.56,1.14,11,0.46,0.27,0.47,0.02,0.01,0.21,3.16,16.55,126,0.22,0,7,DEC,JUL,0.11,0.21,0.15,3253.2,186.4,3441.4,15.3,182.4,197.8,351.8,153.3,11
Somali Coastal Current,31,34.7,0.1,0.4,0,0.1,688,37.01,0.18,35.18,0,28.33,0.25,6.18,0,2,0.05,0.04,0.1,0,0,0.05,1.28,8.47,47,0.23,0,3,APR,AUG,0.11,0.31,0.2,3191.7,190.2,3389.1,15.1,183.7,199,375,12.4,2
Arabian Sea,32,62.6,2.9,2.3,2.8,2.7,941,37.78,0.26,35.68,1,26.26,1.59,6.12,1.49,13,0.36,0.13,0.13,0.02,0.01,0.06,0.75,15.83,176,0.32,0.01,15,MAY,AUG,0.17,0.63,0.4,12999.6,589.8,13785.3,67.9,791.3,868.6,385.1,96.5,13
Red  Sea,33,62.6,0.3,5.6,1.4,2,12170,27.31,0.74,na,na,na,na,na,na,0,0.01,0.01,0.09,0,0,0.04,0.09,7.35,76,0.32,0,1,AUG,JAN,0.12,0.38,0.23,30907.8,2438,33573.3,175,3346.3,3543.6,na,na,0
Bay of Bengal,34,63.4,7.7,4.6,4.1,4.9,693,43.03,0.24,33.38,0.31,27.42,0.7,6.93,1.11,11,4.14,0.88,2.12,0.24,0.05,1.22,10.29,11.18,133,0.25,0.01,11,MAY,SEP,0.16,0.25,0.21,55695.2,1888.4,57885.4,331.3,3570.3,3905.9,356.7,54,11
Gulf of Thailand,35,73.8,7.3,13.4,3.3,6.1,618,38.39,0.16,na,na,na,na,na,na,0,0.12,0.08,0.1,0.01,0,0.05,1.14,13.6,38,0.24,0,1,APR,DEC,0.23,0.44,0.31,92663,2840.5,95532.6,579.5,6054,6634.2,na,na,0
South China Sea,36,73.8,34.5,22.3,14.9,20.3,38220,23.96,0.44,33.72,0.11,25.39,3.15,8.94,0.44,7,1.95,0.57,0.83,0.09,0.03,0.42,9.78,14.48,110,0.29,0,9,MAY,JAN,0.14,0.26,0.19,42936,1497,44539.8,248.9,2677.8,2929.2,347.9,2.1,7
Sulu-Celebes Sea,37,74.8,10.1,4.4,3.2,4.8,11610,33.35,0.23,33.8,0.03,27.73,0.38,6.75,1.63,3,0.16,0.13,0.36,0.01,0.01,0.18,2.75,12.27,62,0.19,0,5,OCT,JAN,0.14,0.2,0.16,31761.8,958.5,32995.4,179.8,1681.1,1873.2,351,1,3
Indonesian Sea,38,69.2,16.2,6.7,3.9,6.9,24260,24.75,0.24,na,na,na,na,na,na,0,0.34,0.3,0.46,0.04,0.02,0.23,6.63,15.52,140,0.24,0.01,8,NOV,AUG,0.2,0.37,0.25,24205.8,863.3,25105.1,133.9,1380.4,1515.3,na,na,0
North Australian Shelf,39,94.6,0.8,6.6,12.7,9.1,18360,27.07,0.17,34.31,0.04,29.83,0,5.2,0.42,2,0.06,0.06,0.07,0,0,0.03,0.61,11.66,55,0.25,0.01,2,DEC,JUN,0.31,0.63,0.43,702.6,107.1,832.8,3.2,62.2,65.5,395.6,1.8,2
Northeast Australian Shelf/Great Barrier Reef,40,94,0.8,6.5,12.5,9,17250,22.12,0.37,35.02,0.01,28.55,0.14,6.31,0.49,4,0.05,0.03,0.03,0,0,0.01,0.31,17.27,34,0.21,0,4,FEB,JUL,0.08,0.13,0.1,3857.1,234.1,4093.3,18.4,233.1,251.5,351.5,10.8,4
East-Central Australian Shelf,41,94.6,0.8,6.6,12.7,9.1,12390,32.47,0.35,35.59,0,26.35,0,7.5,0,1,0.04,0.02,0.02,0.01,0,0.01,0.26,16.66,29,0.33,0,1,FEB,AUG,0.08,0.21,0.14,6961.6,367.5,7331.7,34.4,422.6,457.1,342.4,0,1
Southeast Australian Shelf,42,94.6,0.8,6.6,12.7,9.1,246,34.05,0.2,35.11,0.04,15.72,3.29,8.64,0.23,4,0.06,0.03,0.02,0,0,0.01,0.37,18.9,54,0.29,0,5,JUL,OCT,0.22,0.33,0.27,9145.4,452.2,9609.2,46.7,556.1,602.8,334.9,24.1,4
Southwest Australian Shelf,43,94.6,0.8,6.6,12.7,9.1,471,37.29,0.09,35.62,0,18.45,0,7.3,0,1,0.01,0,0.01,0,0,0,0.04,15,54,0.26,0,4,JAN,JUN,0.14,0.25,0.19,30965.7,1149.9,32122,173.3,1904.7,2078.1,341.4,0,1
West-Central Australian Shelf,44,94.6,0.8,6.6,12.7,9.1,470,37.22,0.09,35.54,0.03,22.75,2.37,9.52,0.08,3,0.01,0,0,0,0,0,0.03,9.87,19,0.2,0,3,DEC,JUL,0.1,0.23,0.15,7891.5,374.4,8280.2,39.8,452.6,492.6,344,11.6,3
Northwest Australian Shelf,45,94.6,0.8,6.6,12.7,9.1,10760,27.32,0.24,34.87,0,27.98,1.42,6.32,0.83,2,0.01,0.01,0.03,0,0,0.01,0.14,10.11,32,0.16,0,2,DEC,JUL,0.11,0.25,0.16,2483.3,171.5,2664.8,11.7,152.5,164.3,364.5,30.1,2
New Zealand Shelf,46,92.6,2.1,2.9,0.4,1.2,914,34.44,0.32,35.06,0.13,16.75,7.07,8.01,0.82,5,0.38,0.11,0.11,0.04,0.01,0.05,2.07,16.53,72,0.32,0.01,5,FEB,OCT,0.23,0.39,0.29,10461.1,509.2,10978.4,53.6,644.5,698.1,334.2,81.6,5
East China Sea,47,84.1,51.9,30.8,42.1,41.8,10690,39.34,1.22,34.42,0.05,19.17,4.62,10.03,0,2,2.32,0.39,0.25,0.11,0.02,0.12,2.68,25.45,31,0.58,0.03,4,AUG,APR,0.35,0.72,0.48,45815.3,1232.8,47188,268.3,2382.5,2667.9,335.6,12.9,2
Yellow Sea,48,73.4,71.8,44.4,36.9,45.4,19060,30.5,0.67,na,na,na,na,na,na,0,0.44,0.09,0.06,0.05,0,0.03,0.58,18.58,50,0.91,0,1,JUL,MAR,1.31,2.47,1.91,37450.6,186.8,37773.3,216.7,517.4,751.2,na,na,0
Kuroshio Current,49,93.6,18.3,6.7,45.8,32.5,14440,30.91,0.75,34.72,0.01,20.27,6.38,9.63,0.46,4,0.37,0.09,0.15,0.06,0,0.08,1.58,17.12,55,0.46,0.06,6,AUG,APR,0.1,0.26,0.17,39869.7,1565.7,41656.8,228.8,2681,2912,331.2,42,4
Sea of Japan,50,83.3,13.3,3.5,24,17.7,558,39.94,1.09,na,na,na,na,na,na,0,0.33,0.08,0.12,0.02,0,0.06,1.54,21.88,87,0.91,0.04,4,AUG,APR,0.24,0.92,0.44,16587.8,588.9,17217.2,88.5,878.9,968.3,na,na,0
Oyashio Current,51,83.3,13,2.1,14.9,12,37,47.63,0.6,33.29,0.05,2.58,0.2,11.2,0.16,3,0.02,0.01,0.01,0,0,0,0.2,17.04,8,0.87,0.02,2,JAN,MAY,0.28,0.92,0.53,1577.5,225.4,1869.9,7.3,154.7,162.5,342,104.2,3
Sea of Okhotsk,52,80.1,11.2,0.7,5.1,5.4,391,31.33,0.31,33.28,0,1.82,0,11.56,0,1,0.22,0.17,0.16,0.01,0.01,0.07,2.32,12.83,126,0.87,0,6,FEB,JUN,0.3,1.43,0.7,109.1,20.4,133.6,0.5,8,8.5,352.7,0,1
West Bering Sea,53,81,11.6,6.2,7.3,7.9,311,31.38,0.39,33.15,0.01,1.69,0.21,11.58,0.58,4,0.02,0.03,0.04,0,0,0.02,1.03,10.38,60,0.73,0.01,3,FEB,MAY,0.27,1.33,0.63,13.5,29.4,44.1,0.1,4.4,4.5,357.1,7.4,4
Chukchi Sea,54,87.4,14.7,34.9,27.5,26.4,na,na,0.7,29.29,1.02,-1.68,0.08,7.67,0.95,14,0.03,0.05,0.07,0,0,0.03,0.7,10.58,117,0.65,0.11,15,AUG,FEB,0.67,2.63,1.26,34.7,11.2,52.6,0.2,3.1,3.3,293.2,305.5,14
Beaufort Sea,55,94.2,9.2,36.5,18.6,20.3,na,na,0.34,29.84,0.81,-1.78,0,6.62,0.15,7,0.04,0.09,0.13,0,0.01,0.06,0.79,9.03,300,0.52,0.06,7,MAR,JUL,0.16,0.68,0.45,66.3,9.6,76.7,0.3,3.6,3.9,324.7,377.3,7
East Siberian Sea,56,79.5,10.9,0.4,3.1,4.1,na,na,0.36,28.71,0.45,-1.78,0,6.54,0.01,6,0.03,0.05,0.05,0,0,0.02,0.3,10.14,50,0.53,0.19,8,MAR,JUL,0.32,2.28,1.03,240.4,31.3,275.8,1.1,15.5,16.6,347.9,25.6,6
Laptev Sea,57,79.5,10.9,0.4,3.1,4.1,na,na,0.12,na,na,na,na,na,na,0,0.07,0.18,0.22,0,0.01,0.09,1.18,8.89,164,0.43,0.03,12,APR,SEP,0.41,2.97,1.22,250.8,29.6,283,1.1,15.1,16.2,na,na,0
Kara Sea,58,79.5,10.9,0.4,3.1,4.1,na,na,0.16,30.74,1.29,-1.65,0.02,7.99,0.06,5,0.22,0.36,0.29,0.02,0.02,0.12,2.56,11.48,185,0.47,0.03,15,APR,OCT,0.3,15.1,2.67,653.8,64.6,719.4,2.9,41.1,44,358.6,0.1,5
Iceland Shelf,59,94.1,6.9,0.4,0,1.5,152,65.86,0.86,34.71,0.04,2.93,5.17,12.14,0.09,3,0.02,0.02,0.02,0,0,0.01,0.41,11.87,31,0.74,0,2,MAR,JUN,0.24,0.78,0.55,1040.5,98.8,1139.8,4.7,69.1,73.8,312.2,39.2,3
Faroe Plateau,60,na,na,na,na,na,174,63.62,0.75,na,na,na,na,na,na,0,na,na,na,na,na,na,0.02,27.33,1,0.48,0,1,FEB,JUL,0.16,0.81,0.47,1093.3,103.8,1197.5,4.9,73.3,78.2,na,na,0
Antarctic,61,na,na,na,na,na,na,na,0,33.81,0.16,-0.69,0.37,5.6,0.8,25,na,na,na,na,na,na,na,na,na,0.46,0.05,34,AUG,JAN,0.14,0.63,0.33,5.5,1.5,7.1,0,0.3,0.3,361.4,58.1,25
Black Sea,62,77.3,2.9,7.9,1.2,2.9,193,44.59,0.96,na,na,na,na,na,na,0,0.39,0.16,0.1,0.05,0.01,0.04,1.11,15.99,63,0.87,0,2,JUL,NOV,0.76,1.11,0.94,70810.3,174.8,71026.1,433.8,616.9,1056.1,na,na,0
Hudson Bay,63,94.3,4.9,25.4,5.3,9.2,na,na,0.28,na,na,na,na,na,na,0,0.2,0.25,0.12,0.01,0.01,0.05,1.84,19.38,233,0.61,0.01,6,APR,NOV,0.39,3.44,0.94,47.2,8.2,56.1,0.2,2.8,3,na,na,0
Central Arctic,64,na,na,na,na,na,na,na,na,29.87,0.27,-1.79,0,6.55,0.02,5,na,na,na,na,na,na,na,na,na,0.2,0.05,69,APR,JUL,0.18,0.41,0.28,785.6,77.2,863.1,3.5,50.8,54.3,317.7,186.4,5
Aleutian Islands,65,na,na,na,na,na,na,na,na,33.03,0,3.94,0.04,11.45,0.01,4,na,na,na,na,na,na,na,na,na,0.57,0,3,MAR,AUG,0.3,0.81,0.54,29.2,43.7,74.1,0.1,8.2,8.3,373.3,4.3,4
Canadian High Arctic - North Greenland,66,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0.01,0.04,0,0,0.02,0.02,23.81,342,0.25,0.07,10,APR,AUG,0.22,0.58,0.38,724.3,72.4,798.2,3.2,46.8,50,na,na,0
